candidato_apellido,candidato_nombre,candidato_partido,pregunta_orden,pregunta_texto_ref,valor,justificacion,fuente_url
Kast Rist,Jose Antonio,Republicano,11,El proximo gobierno debe convocar a un nuevo proceso constit,1,[INFERIDO POR CANDIDATO: Jose Antonio Kast Rist] Postura tomada del perfil publico del candidato sin desviacion. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.,https://es.wikipedia.org/wiki/Jos%C3%A9_Antonio_Kast
Kast Rist,Jose Antonio,Republicano,12,Chile debe retirarse del Tratado Integral y Progresista de A,1,[INFERIDO POR CANDIDATO: Jose Antonio Kast Rist] Postura tomada del perfil publico del candidato sin desviacion. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.,https://es.wikipedia.org/wiki/Jos%C3%A9_Antonio_Kast
Kast Rist,Jose Antonio,Republicano,13,Chile debe reconocer formalmente al Estado de Palestina en l,1,[INFERIDO POR CANDIDATO: Jose Antonio Kast Rist] Postura tomada del perfil publico del candidato sin desviacion. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.,https://es.wikipedia.org/wiki/Jos%C3%A9_Antonio_Kast
Kast Rist,Jose Antonio,Republicano,14,Se debe eliminar el Senado y avanzar hacia un Congreso unica,1,[INFERIDO POR CANDIDATO: Jose Antonio Kast Rist] Postura tomada del perfil publico del candidato sin desviacion. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.,https://es.wikipedia.org/wiki/Jos%C3%A9_Antonio_Kast
Kast Rist,Jose Antonio,Republicano,15,El presidente debe impulsar como prioridad legislativa el pr,1,[INFERIDO POR CANDIDATO: Jose Antonio Kast Rist] Postura tomada del perfil publico del candidato sin desviacion. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.,https://es.wikipedia.org/wiki/Jos%C3%A9_Antonio_Kast
Kast Rist,Jose Antonio,Republicano,16,El proximo gobierno debe destinar recursos adicionales de CO,1,[INFERIDO POR CANDIDATO: Jose Antonio Kast Rist] Postura tomada del perfil publico del candidato sin desviacion. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.,https://es.wikipedia.org/wiki/Jos%C3%A9_Antonio_Kast
Kast Rist,Jose Antonio,Republicano,17,El proximo gobierno debe establecer una pension de invalidez,1,"[INFERIDO POR CANDIDATO: Jose Antonio Kast Rist] Base perfil=2, candidato=1 (RUIDO -1 deterministico). Refleja incertidumbre no verificada. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Jos%C3%A9_Antonio_Kast
Jara Roman,Jeannette,Comunista de Chile,1,El proximo gobierno debe impulsar una reforma tributaria que,5,[INFERIDO POR CANDIDATO: Jeannette Jara Roman] Postura tomada del perfil publico del candidato sin desviacion. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.,https://es.wikipedia.org/wiki/Jeannette_Jara
Jara Roman,Jeannette,Comunista de Chile,3,El royalty minero al cobre debe aumentarse para financiar sa,5,[INFERIDO POR CANDIDATO: Jeannette Jara Roman] Postura tomada del perfil publico del candidato sin desviacion. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.,https://es.wikipedia.org/wiki/Jeannette_Jara
Jara Roman,Jeannette,Comunista de Chile,4,Se debe implementar por ley la jornada laboral de 40 horas s,5,[INFERIDO POR CANDIDATO: Jeannette Jara Roman] Postura tomada del perfil publico del candidato sin desviacion. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.,https://es.wikipedia.org/wiki/Jeannette_Jara
Jara Roman,Jeannette,Comunista de Chile,5,Se debe eliminar totalmente el copago en las prestaciones de,5,[INFERIDO POR CANDIDATO: Jeannette Jara Roman] Postura tomada del perfil publico del candidato sin desviacion. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.,https://es.wikipedia.org/wiki/Jeannette_Jara
Jara Roman,Jeannette,Comunista de Chile,6,La gratuidad en educacion superior debe extenderse al 100% d,5,[INFERIDO POR CANDIDATO: Jeannette Jara Roman] Postura tomada del perfil publico del candidato sin desviacion. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.,https://es.wikipedia.org/wiki/Jeannette_Jara
Jara Roman,Jeannette,Comunista de Chile,7,Chile debe adelantar el cierre de todas las centrales termoe,4,[INFERIDO POR CANDIDATO: Jeannette Jara Roman] Postura tomada del perfil publico del candidato sin desviacion. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.,https://es.wikipedia.org/wiki/Jeannette_Jara
Jara Roman,Jeannette,Comunista de Chile,8,Se debe prohibir la operacion de salmoneras dentro de Areas ,5,[INFERIDO POR CANDIDATO: Jeannette Jara Roman] Postura tomada del perfil publico del candidato sin desviacion. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.,https://es.wikipedia.org/wiki/Jeannette_Jara
Jara Roman,Jeannette,Comunista de Chile,9,Se debe desplegar Fuerzas Armadas de forma permanente en la ,4,"[INFERIDO POR CANDIDATO: Jeannette Jara Roman] Base perfil=3, candidato=4 (RUIDO +1 deterministico). Refleja incertidumbre no verificada. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Jeannette_Jara
Jara Roman,Jeannette,Comunista de Chile,10,Chile debe construir carceles de maxima seguridad exclusivas,4,[INFERIDO POR CANDIDATO: Jeannette Jara Roman] Postura tomada del perfil publico del candidato sin desviacion. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.,https://es.wikipedia.org/wiki/Jeannette_Jara
Jara Roman,Jeannette,Comunista de Chile,11,El proximo gobierno debe convocar a un nuevo proceso constit,3,[INFERIDO POR CANDIDATO: Jeannette Jara Roman] Postura tomada del perfil publico del candidato sin desviacion. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.,https://es.wikipedia.org/wiki/Jeannette_Jara
Jara Roman,Jeannette,Comunista de Chile,12,Chile debe retirarse del Tratado Integral y Progresista de A,4,[INFERIDO POR CANDIDATO: Jeannette Jara Roman] Postura tomada del perfil publico del candidato sin desviacion. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.,https://es.wikipedia.org/wiki/Jeannette_Jara
Jara Roman,Jeannette,Comunista de Chile,13,Chile debe reconocer formalmente al Estado de Palestina en l,5,[INFERIDO POR CANDIDATO: Jeannette Jara Roman] Postura tomada del perfil publico del candidato sin desviacion. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.,https://es.wikipedia.org/wiki/Jeannette_Jara
Jara Roman,Jeannette,Comunista de Chile,14,Se debe eliminar el Senado y avanzar hacia un Congreso unica,3,[INFERIDO POR CANDIDATO: Jeannette Jara Roman] Postura tomada del perfil publico del candidato sin desviacion. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.,https://es.wikipedia.org/wiki/Jeannette_Jara
Jara Roman,Jeannette,Comunista de Chile,15,El presidente debe impulsar como prioridad legislativa el pr,5,[INFERIDO POR CANDIDATO: Jeannette Jara Roman] Postura tomada del perfil publico del candidato sin desviacion. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.,https://es.wikipedia.org/wiki/Jeannette_Jara
Jara Roman,Jeannette,Comunista de Chile,16,El proximo gobierno debe destinar recursos adicionales de CO,4,[INFERIDO POR CANDIDATO: Jeannette Jara Roman] Postura tomada del perfil publico del candidato sin desviacion. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.,https://es.wikipedia.org/wiki/Jeannette_Jara
Jara Roman,Jeannette,Comunista de Chile,17,El proximo gobierno debe establecer una pension de invalidez,5,[INFERIDO POR CANDIDATO: Jeannette Jara Roman] Postura tomada del perfil publico del candidato sin desviacion. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.,https://es.wikipedia.org/wiki/Jeannette_Jara
Matthei Fornet,Evelyn,Union Democrata Independiente,1,El proximo gobierno debe impulsar una reforma tributaria que,1,"[INFERIDO POR CANDIDATO: Evelyn Matthei Fornet] Base perfil=2, candidato=1 (RUIDO -1 deterministico). Refleja incertidumbre no verificada. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Evelyn_Matthei
Matthei Fornet,Evelyn,Union Democrata Independiente,2,Chile debe migrar hacia un sistema previsional con mayor com,5,[INFERIDO POR CANDIDATO: Evelyn Matthei Fornet] Postura tomada del perfil publico del candidato sin desviacion. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.,https://es.wikipedia.org/wiki/Evelyn_Matthei
Matthei Fornet,Evelyn,Union Democrata Independiente,3,El royalty minero al cobre debe aumentarse para financiar sa,2,[INFERIDO POR CANDIDATO: Evelyn Matthei Fornet] Postura tomada del perfil publico del candidato sin desviacion. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.,https://es.wikipedia.org/wiki/Evelyn_Matthei
Matthei Fornet,Evelyn,Union Democrata Independiente,4,Se debe implementar por ley la jornada laboral de 40 horas s,2,"[INFERIDO POR CANDIDATO: Evelyn Matthei Fornet] Base perfil=3, candidato=2 (RUIDO -1 deterministico). Refleja incertidumbre no verificada. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Evelyn_Matthei
Matthei Fornet,Evelyn,Union Democrata Independiente,5,Se debe eliminar totalmente el copago en las prestaciones de,3,"[INFERIDO POR CANDIDATO: Evelyn Matthei Fornet] Base perfil=2, candidato=3 (RUIDO +1 deterministico). Refleja incertidumbre no verificada. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Evelyn_Matthei
Matthei Fornet,Evelyn,Union Democrata Independiente,6,La gratuidad en educacion superior debe extenderse al 100% d,1,[INFERIDO POR CANDIDATO: Evelyn Matthei Fornet] Postura tomada del perfil publico del candidato sin desviacion. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.,https://es.wikipedia.org/wiki/Evelyn_Matthei
Matthei Fornet,Evelyn,Union Democrata Independiente,7,Chile debe adelantar el cierre de todas las centrales termoe,2,[INFERIDO POR CANDIDATO: Evelyn Matthei Fornet] Postura tomada del perfil publico del candidato sin desviacion. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.,https://es.wikipedia.org/wiki/Evelyn_Matthei
Matthei Fornet,Evelyn,Union Democrata Independiente,8,Se debe prohibir la operacion de salmoneras dentro de Areas ,3,"[INFERIDO POR CANDIDATO: Evelyn Matthei Fornet] Base perfil=2, candidato=3 (RUIDO +1 deterministico). Refleja incertidumbre no verificada. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Evelyn_Matthei
Matthei Fornet,Evelyn,Union Democrata Independiente,9,Se debe desplegar Fuerzas Armadas de forma permanente en la ,5,[INFERIDO POR CANDIDATO: Evelyn Matthei Fornet] Postura tomada del perfil publico del candidato sin desviacion. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.,https://es.wikipedia.org/wiki/Evelyn_Matthei
Matthei Fornet,Evelyn,Union Democrata Independiente,10,Chile debe construir carceles de maxima seguridad exclusivas,5,[INFERIDO POR CANDIDATO: Evelyn Matthei Fornet] Postura tomada del perfil publico del candidato sin desviacion. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.,https://es.wikipedia.org/wiki/Evelyn_Matthei
Matthei Fornet,Evelyn,Union Democrata Independiente,11,El proximo gobierno debe convocar a un nuevo proceso constit,1,[INFERIDO POR CANDIDATO: Evelyn Matthei Fornet] Postura tomada del perfil publico del candidato sin desviacion. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.,https://es.wikipedia.org/wiki/Evelyn_Matthei
Matthei Fornet,Evelyn,Union Democrata Independiente,12,Chile debe retirarse del Tratado Integral y Progresista de A,1,[INFERIDO POR CANDIDATO: Evelyn Matthei Fornet] Postura tomada del perfil publico del candidato sin desviacion. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.,https://es.wikipedia.org/wiki/Evelyn_Matthei
Matthei Fornet,Evelyn,Union Democrata Independiente,13,Chile debe reconocer formalmente al Estado de Palestina en l,2,[INFERIDO POR CANDIDATO: Evelyn Matthei Fornet] Postura tomada del perfil publico del candidato sin desviacion. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.,https://es.wikipedia.org/wiki/Evelyn_Matthei
Matthei Fornet,Evelyn,Union Democrata Independiente,14,Se debe eliminar el Senado y avanzar hacia un Congreso unica,1,[INFERIDO POR CANDIDATO: Evelyn Matthei Fornet] Postura tomada del perfil publico del candidato sin desviacion. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.,https://es.wikipedia.org/wiki/Evelyn_Matthei
Matthei Fornet,Evelyn,Union Democrata Independiente,15,El presidente debe impulsar como prioridad legislativa el pr,2,"[INFERIDO POR CANDIDATO: Evelyn Matthei Fornet] Base perfil=1, candidato=2 (RUIDO +1 deterministico). Refleja incertidumbre no verificada. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Evelyn_Matthei
Matthei Fornet,Evelyn,Union Democrata Independiente,16,El proximo gobierno debe destinar recursos adicionales de CO,3,"[INFERIDO POR CANDIDATO: Evelyn Matthei Fornet] Base perfil=2, candidato=3 (RUIDO +1 deterministico). Refleja incertidumbre no verificada. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Evelyn_Matthei
Matthei Fornet,Evelyn,Union Democrata Independiente,17,El proximo gobierno debe establecer una pension de invalidez,1,"[INFERIDO POR CANDIDATO: Evelyn Matthei Fornet] Base perfil=2, candidato=1 (RUIDO -1 deterministico). Refleja incertidumbre no verificada. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Evelyn_Matthei
Parisi Fernandez,Franco,Partido de la Gente,1,El proximo gobierno debe impulsar una reforma tributaria que,2,[INFERIDO POR CANDIDATO: Franco Parisi Fernandez] Postura tomada del perfil publico del candidato sin desviacion. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.,https://es.wikipedia.org/wiki/Franco_Parisi
Parisi Fernandez,Franco,Partido de la Gente,2,Chile debe migrar hacia un sistema previsional con mayor com,5,"[INFERIDO POR CANDIDATO: Franco Parisi Fernandez] Base perfil=4, candidato=5 (RUIDO +1 deterministico). Refleja incertidumbre no verificada. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Franco_Parisi
Parisi Fernandez,Franco,Partido de la Gente,3,El royalty minero al cobre debe aumentarse para financiar sa,3,[INFERIDO POR CANDIDATO: Franco Parisi Fernandez] Postura tomada del perfil publico del candidato sin desviacion. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.,https://es.wikipedia.org/wiki/Franco_Parisi
Parisi Fernandez,Franco,Partido de la Gente,4,Se debe implementar por ley la jornada laboral de 40 horas s,3,[INFERIDO POR CANDIDATO: Franco Parisi Fernandez] Postura tomada del perfil publico del candidato sin desviacion. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.,https://es.wikipedia.org/wiki/Franco_Parisi
Parisi Fernandez,Franco,Partido de la Gente,5,Se debe eliminar totalmente el copago en las prestaciones de,3,[INFERIDO POR CANDIDATO: Franco Parisi Fernandez] Postura tomada del perfil publico del candidato sin desviacion. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.,https://es.wikipedia.org/wiki/Franco_Parisi
Parisi Fernandez,Franco,Partido de la Gente,6,La gratuidad en educacion superior debe extenderse al 100% d,3,[INFERIDO POR CANDIDATO: Franco Parisi Fernandez] Postura tomada del perfil publico del candidato sin desviacion. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.,https://es.wikipedia.org/wiki/Franco_Parisi
Parisi Fernandez,Franco,Partido de la Gente,7,Chile debe adelantar el cierre de todas las centrales termoe,2,[INFERIDO POR CANDIDATO: Franco Parisi Fernandez] Postura tomada del perfil publico del candidato sin desviacion. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.,https://es.wikipedia.org/wiki/Franco_Parisi
Parisi Fernandez,Franco,Partido de la Gente,8,Se debe prohibir la operacion de salmoneras dentro de Areas ,3,"[INFERIDO POR CANDIDATO: Franco Parisi Fernandez] Base perfil=2, candidato=3 (RUIDO +1 deterministico). Refleja incertidumbre no verificada. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Franco_Parisi
Parisi Fernandez,Franco,Partido de la Gente,10,Chile debe construir carceles de maxima seguridad exclusivas,5,[INFERIDO POR CANDIDATO: Franco Parisi Fernandez] Postura tomada del perfil publico del candidato sin desviacion. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.,https://es.wikipedia.org/wiki/Franco_Parisi
Parisi Fernandez,Franco,Partido de la Gente,11,El proximo gobierno debe convocar a un nuevo proceso constit,2,[INFERIDO POR CANDIDATO: Franco Parisi Fernandez] Postura tomada del perfil publico del candidato sin desviacion. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.,https://es.wikipedia.org/wiki/Franco_Parisi
Parisi Fernandez,Franco,Partido de la Gente,12,Chile debe retirarse del Tratado Integral y Progresista de A,2,[INFERIDO POR CANDIDATO: Franco Parisi Fernandez] Postura tomada del perfil publico del candidato sin desviacion. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.,https://es.wikipedia.org/wiki/Franco_Parisi
Parisi Fernandez,Franco,Partido de la Gente,13,Chile debe reconocer formalmente al Estado de Palestina en l,3,[INFERIDO POR CANDIDATO: Franco Parisi Fernandez] Postura tomada del perfil publico del candidato sin desviacion. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.,https://es.wikipedia.org/wiki/Franco_Parisi
Parisi Fernandez,Franco,Partido de la Gente,14,Se debe eliminar el Senado y avanzar hacia un Congreso unica,4,[INFERIDO POR CANDIDATO: Franco Parisi Fernandez] Postura tomada del perfil publico del candidato sin desviacion. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.,https://es.wikipedia.org/wiki/Franco_Parisi
Parisi Fernandez,Franco,Partido de la Gente,15,El presidente debe impulsar como prioridad legislativa el pr,3,[INFERIDO POR CANDIDATO: Franco Parisi Fernandez] Postura tomada del perfil publico del candidato sin desviacion. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.,https://es.wikipedia.org/wiki/Franco_Parisi
Parisi Fernandez,Franco,Partido de la Gente,16,El proximo gobierno debe destinar recursos adicionales de CO,1,"[INFERIDO POR CANDIDATO: Franco Parisi Fernandez] Base perfil=2, candidato=1 (RUIDO -1 deterministico). Refleja incertidumbre no verificada. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Franco_Parisi
Parisi Fernandez,Franco,Partido de la Gente,17,El proximo gobierno debe establecer una pension de invalidez,3,"[INFERIDO POR CANDIDATO: Franco Parisi Fernandez] Base perfil=4, candidato=3 (RUIDO -1 deterministico). Refleja incertidumbre no verificada. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Franco_Parisi
Kaiser Barents-von Hohenhagen,Johannes,Nacional Libertario,1,El proximo gobierno debe impulsar una reforma tributaria que,1,[INFERIDO POR CANDIDATO: Johannes Kaiser Barents-von Hohenhagen] Postura tomada del perfil publico del candidato sin desviacion. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.,https://es.wikipedia.org/wiki/Johannes_Kaiser
Kaiser Barents-von Hohenhagen,Johannes,Nacional Libertario,2,Chile debe migrar hacia un sistema previsional con mayor com,5,[INFERIDO POR CANDIDATO: Johannes Kaiser Barents-von Hohenhagen] Postura tomada del perfil publico del candidato sin desviacion. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.,https://es.wikipedia.org/wiki/Johannes_Kaiser
Kaiser Barents-von Hohenhagen,Johannes,Nacional Libertario,3,El royalty minero al cobre debe aumentarse para financiar sa,2,"[INFERIDO POR CANDIDATO: Johannes Kaiser Barents-von Hohenhagen] Base perfil=1, candidato=2 (RUIDO +1 deterministico). Refleja incertidumbre no verificada. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Johannes_Kaiser
Kaiser Barents-von Hohenhagen,Johannes,Nacional Libertario,4,Se debe implementar por ley la jornada laboral de 40 horas s,1,[INFERIDO POR CANDIDATO: Johannes Kaiser Barents-von Hohenhagen] Postura tomada del perfil publico del candidato sin desviacion. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.,https://es.wikipedia.org/wiki/Johannes_Kaiser
Kaiser Barents-von Hohenhagen,Johannes,Nacional Libertario,5,Se debe eliminar totalmente el copago en las prestaciones de,1,[INFERIDO POR CANDIDATO: Johannes Kaiser Barents-von Hohenhagen] Postura tomada del perfil publico del candidato sin desviacion. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.,https://es.wikipedia.org/wiki/Johannes_Kaiser
Kaiser Barents-von Hohenhagen,Johannes,Nacional Libertario,6,La gratuidad en educacion superior debe extenderse al 100% d,1,[INFERIDO POR CANDIDATO: Johannes Kaiser Barents-von Hohenhagen] Postura tomada del perfil publico del candidato sin desviacion. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.,https://es.wikipedia.org/wiki/Johannes_Kaiser
Kaiser Barents-von Hohenhagen,Johannes,Nacional Libertario,7,Chile debe adelantar el cierre de todas las centrales termoe,1,[INFERIDO POR CANDIDATO: Johannes Kaiser Barents-von Hohenhagen] Postura tomada del perfil publico del candidato sin desviacion. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.,https://es.wikipedia.org/wiki/Johannes_Kaiser
Kaiser Barents-von Hohenhagen,Johannes,Nacional Libertario,8,Se debe prohibir la operacion de salmoneras dentro de Areas ,1,[INFERIDO POR CANDIDATO: Johannes Kaiser Barents-von Hohenhagen] Postura tomada del perfil publico del candidato sin desviacion. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.,https://es.wikipedia.org/wiki/Johannes_Kaiser
Kaiser Barents-von Hohenhagen,Johannes,Nacional Libertario,9,Se debe desplegar Fuerzas Armadas de forma permanente en la ,5,[INFERIDO POR CANDIDATO: Johannes Kaiser Barents-von Hohenhagen] Postura tomada del perfil publico del candidato sin desviacion. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.,https://es.wikipedia.org/wiki/Johannes_Kaiser
Kaiser Barents-von Hohenhagen,Johannes,Nacional Libertario,10,Chile debe construir carceles de maxima seguridad exclusivas,5,[INFERIDO POR CANDIDATO: Johannes Kaiser Barents-von Hohenhagen] Postura tomada del perfil publico del candidato sin desviacion. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.,https://es.wikipedia.org/wiki/Johannes_Kaiser
Kaiser Barents-von Hohenhagen,Johannes,Nacional Libertario,11,El proximo gobierno debe convocar a un nuevo proceso constit,1,[INFERIDO POR CANDIDATO: Johannes Kaiser Barents-von Hohenhagen] Postura tomada del perfil publico del candidato sin desviacion. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.,https://es.wikipedia.org/wiki/Johannes_Kaiser
Kaiser Barents-von Hohenhagen,Johannes,Nacional Libertario,12,Chile debe retirarse del Tratado Integral y Progresista de A,1,[INFERIDO POR CANDIDATO: Johannes Kaiser Barents-von Hohenhagen] Postura tomada del perfil publico del candidato sin desviacion. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.,https://es.wikipedia.org/wiki/Johannes_Kaiser
Kaiser Barents-von Hohenhagen,Johannes,Nacional Libertario,13,Chile debe reconocer formalmente al Estado de Palestina en l,1,[INFERIDO POR CANDIDATO: Johannes Kaiser Barents-von Hohenhagen] Postura tomada del perfil publico del candidato sin desviacion. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.,https://es.wikipedia.org/wiki/Johannes_Kaiser
Kaiser Barents-von Hohenhagen,Johannes,Nacional Libertario,14,Se debe eliminar el Senado y avanzar hacia un Congreso unica,1,[INFERIDO POR CANDIDATO: Johannes Kaiser Barents-von Hohenhagen] Postura tomada del perfil publico del candidato sin desviacion. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.,https://es.wikipedia.org/wiki/Johannes_Kaiser
Kaiser Barents-von Hohenhagen,Johannes,Nacional Libertario,15,El presidente debe impulsar como prioridad legislativa el pr,2,"[INFERIDO POR CANDIDATO: Johannes Kaiser Barents-von Hohenhagen] Base perfil=1, candidato=2 (RUIDO +1 deterministico). Refleja incertidumbre no verificada. Data sintetica. NO es declaracion personal citada. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Johannes_Kaiser
