nombre,apellido,partido,ciudad,bio,propuesta_electoral,tipos_eleccion,lista_electoral,territorio,region,eleccion,nro_lista,revision_apellido
Miguel Angel,Calisto Aguila,Independiente Federación Regionalista Verde Social,,,,Senadores 2025,"B. Verdes, Regionalistas y Humanistas",Circunscripción Senatorial 14,De Aysen Del General Carlos Ibañez Del Campo,Senador,11,
Paola,Alzamora Aguirre,Acción Humanista,,,,Senadores 2025,"B. Verdes, Regionalistas y Humanistas",Circunscripción Senatorial 2,De Tarapaca,Senador,11,
Andrea,Araya Toro,Acción Humanista,,,,Senadores 2025,"B. Verdes, Regionalistas y Humanistas",Circunscripción Senatorial 6,De Valparaiso,Senador,12,
Jorge,Abello Moll,Independiente Federación Regionalista Verde Social,,,,Senadores 2025,"B. Verdes, Regionalistas y Humanistas",Circunscripción Senatorial 14,De Aysen Del General Carlos Ibañez Del Campo,Senador,12,
Tomas,Bize Brintrup,Acción Humanista,,,,Senadores 2025,"B. Verdes, Regionalistas y Humanistas",Circunscripción Senatorial 9,Del Maule,Senador,12,
Alejandra,Molina Tobar,Federación Regionalista Verde Social,,,,Senadores 2025,"B. Verdes, Regionalistas y Humanistas",Circunscripción Senatorial 9,Del Maule,Senador,13,
German,Correa Diaz,Independiente Federación Regionalista Verde Social,,,,Senadores 2025,"B. Verdes, Regionalistas y Humanistas",Circunscripción Senatorial 6,De Valparaiso,Senador,13,
Jaime,Naranjo Ortiz,Independiente Federación Regionalista Verde Social,,,,Senadores 2025,"B. Verdes, Regionalistas y Humanistas",Circunscripción Senatorial 9,Del Maule,Senador,14,
Yessica,Flandez Flandez,Federación Regionalista Verde Social,,,,Senadores 2025,"B. Verdes, Regionalistas y Humanistas",Circunscripción Senatorial 6,De Valparaiso,Senador,14,
Carla,Fernandez Riffo,Independiente Federación Regionalista Verde Social,,,,Senadores 2025,"B. Verdes, Regionalistas y Humanistas",Circunscripción Senatorial 9,Del Maule,Senador,15,
Adriana,Ampuero Barrientos,Independiente Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 26,De Los Lagos,Diputado,51,
Alejandra,Perez Espina,Acción Humanista,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 9,Metropolitana De Santiago,Diputado,51,
Jal,Yjade Evila,Ecologista Verde,,,,Senadores 2025,A. Partido Ecologista Verde,Circunscripción Senatorial 11,De La Araucania,Senador,12,
Alexis,Zuñiga Jelvez,Ecologista Verde,,,,Diputados 2025,A. Partido Ecologista Verde,Distrito 21,Del Biobio,Diputado,51,
Felipe,Aylwin Lagos,Ecologista Verde,,,,Diputados 2025,A. Partido Ecologista Verde,Distrito 19,De Ñuble,Diputado,51,
Felix,Gonzalez Gatica,Ecologista Verde,,,,Diputados 2025,A. Partido Ecologista Verde,Distrito 20,Del Biobio,Diputado,51,
Jessica,Mendez Canaves,Ecologista Verde,,,,Diputados 2025,A. Partido Ecologista Verde,Distrito 23,De La Araucania,Diputado,51,
Valentina,Saez Casanova,Ecologista Verde,,,,Diputados 2025,A. Partido Ecologista Verde,Distrito 22,De La Araucania,Diputado,51,
Elizabeth,Mujica Zepeda,Ecologista Verde,,,,Diputados 2025,A. Partido Ecologista Verde,Distrito 20,Del Biobio,Diputado,52,
Graciela,Huenuman Lincopi,Ecologista Verde,,,,Diputados 2025,A. Partido Ecologista Verde,Distrito 19,De Ñuble,Diputado,52,
Ivan Gorky,Rojas Villagra,Ecologista Verde,,,,Diputados 2025,A. Partido Ecologista Verde,Distrito 23,De La Araucania,Diputado,52,
Johanna,Barra Astudillo,Ecologista Verde,,,,Diputados 2025,A. Partido Ecologista Verde,Distrito 21,Del Biobio,Diputado,52,
Raul,Huilcal Barria,Ecologista Verde,,,,Diputados 2025,A. Partido Ecologista Verde,Distrito 22,De La Araucania,Diputado,52,
Constanza,Gonzalez Gonzalez,Ecologista Verde,,,,Diputados 2025,A. Partido Ecologista Verde,Distrito 23,De La Araucania,Diputado,53,
Hernan,Pino Seguel,Ecologista Verde,,,,Diputados 2025,A. Partido Ecologista Verde,Distrito 20,Del Biobio,Diputado,53,
Patricio Antonio,Palma Molina,Ecologista Verde,,,,Diputados 2025,A. Partido Ecologista Verde,Distrito 19,De Ñuble,Diputado,53,
Pedro Pablo,Valenzuela Castro,Ecologista Verde,,,,Diputados 2025,A. Partido Ecologista Verde,Distrito 21,Del Biobio,Diputado,53,
Wanglen,Mila Huenumilla,Ecologista Verde,,,,Diputados 2025,A. Partido Ecologista Verde,Distrito 22,De La Araucania,Diputado,53,
Atrix,Badilla Hernandez,Ecologista Verde,,,,Diputados 2025,A. Partido Ecologista Verde,Distrito 20,Del Biobio,Diputado,54,
Barbara,Lepez Monsalvez,Ecologista Verde,,,,Diputados 2025,A. Partido Ecologista Verde,Distrito 21,Del Biobio,Diputado,54,
Eduardo,Cuellar Ferreira,Ecologista Verde,,,,Diputados 2025,A. Partido Ecologista Verde,Distrito 22,De La Araucania,Diputado,54,
Eliana,Sanhueza Ortiz,Ecologista Verde,,,,Diputados 2025,A. Partido Ecologista Verde,Distrito 19,De Ñuble,Diputado,54,
Victor,Vilches Vargas,Ecologista Verde,,,,Diputados 2025,A. Partido Ecologista Verde,Distrito 23,De La Araucania,Diputado,54,
Carolina,Monsalves Sanhueza,Ecologista Verde,,,,Diputados 2025,A. Partido Ecologista Verde,Distrito 19,De Ñuble,Diputado,55,
Doris,Blanco Llanquileo,Ecologista Verde,,,,Diputados 2025,A. Partido Ecologista Verde,Distrito 23,De La Araucania,Diputado,55,
Felipe,Arancibia Labraña,Ecologista Verde,,,,Diputados 2025,A. Partido Ecologista Verde,Distrito 20,Del Biobio,Diputado,55,
Ana Maria,Gazmuri Vieira,Acción Humanista,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 12,Metropolitana De Santiago,Diputado,51,
Antonio,Carvacho Cardenas,Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 16,Del Libertador General Bernardo O'Higgins,Diputado,51,
Cecilia,Bravo Moraga,Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 24,De Los Rios,Diputado,51,
Cesar,Leiva Rubio,Independiente Acción Humanista,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 8,Metropolitana De Santiago,Diputado,51,
Daniela,Molina Barrera,Acción Humanista,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 5,De Coquimbo,Diputado,51,
Francisco,Estevez Valencia,Independiente Acción Humanista,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 10,Metropolitana De Santiago,Diputado,51,
Gustavo,Lobos Contreras,Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 25,De Los Lagos,Diputado,51,
Hernan,Velasquez Nuñez,Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 3,De Antofagasta,Diputado,51,
Jaime,Mulet Martinez,Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 4,De Atacama,Diputado,51,
Jorge,Sharp Fajardo,Independiente Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 7,De Valparaiso,Diputado,51,
Jose Eduardo,Gonzalez Gaete,Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 17,Del Maule,Diputado,51,
Jose,Silva Diaz,Independiente Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 13,Metropolitana De Santiago,Diputado,51,
Marco,Calcagno Zuleta,Independiente Acción Humanista,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 2,De Tarapaca,Diputado,51,
Nicolas,Salgado Ahumada,Independiente Acción Humanista,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 15,Del Libertador General Bernardo O'Higgins,Diputado,51,
Octavio,Gonzalez Ojeda,Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 6,De Valparaiso,Diputado,51,
Pilar,Farfan Villagra,Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 14,Metropolitana De Santiago,Diputado,51,
Rene,Alinco Bustos,Independiente Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 27,De Aysen Del General Carlos Ibañez Del Campo,Diputado,51,
Ricardo,Sanzana Oteiza,Independiente Acción Humanista,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 1,De Arica Y Parinacota,Diputado,51,
Rodrigo,Bravo Bustos,Acción Humanista,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 18,Del Maule,Diputado,51,
Rodrigo,Utz Contreras,Independiente Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 28,De Magallanes Y De La Antartica Chilena,Diputado,51,
Tomas,Hirsch Goldschmidt,Acción Humanista,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 11,Metropolitana De Santiago,Diputado,51,
Ariel,Mateluna Mateluna,Independiente Acción Humanista,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 9,Metropolitana De Santiago,Diputado,52,
Carlos,Astudillo Ulloa,Independiente Acción Humanista,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 8,Metropolitana De Santiago,Diputado,52,
Carolina,Armenakis Daher,Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 4,De Atacama,Diputado,52,
Claudia,Jofre Vidal,Independiente Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 6,De Valparaiso,Diputado,52,
Claudia,Valenzuela Torres,Independiente Acción Humanista,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 5,De Coquimbo,Diputado,52,
Claudio,Segovia Cofre,Independiente Acción Humanista,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 15,Del Libertador General Bernardo O'Higgins,Diputado,52,
Cristian,Diaz Correa,Independiente Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 16,Del Libertador General Bernardo O'Higgins,Diputado,52,
Elizabeth,Contreras Becerra,Independiente Acción Humanista,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 11,Metropolitana De Santiago,Diputado,52,
Evelyn,Bastias Araya,Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 14,Metropolitana De Santiago,Diputado,52,
Gloria Carolina,Perez Sepulveda,Independiente Acción Humanista,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 10,Metropolitana De Santiago,Diputado,52,
Leonardo,Valenzuela Atenas,Acción Humanista,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 1,De Arica Y Parinacota,Diputado,52,
Manuel,Rivera Altamirano,Independiente Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 25,De Los Lagos,Diputado,52,
Margarita Paz,Araya Flores,Acción Humanista,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 12,Metropolitana De Santiago,Diputado,52,
Mario,Montecinos Aros,Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 24,De Los Rios,Diputado,52,
Marion,Tapia Gonzalez,Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 3,De Antofagasta,Diputado,52,
Marisol,Perez Saavedra,Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 17,Del Maule,Diputado,52,
Marisol,Rosas Alvarado,Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 26,De Los Lagos,Diputado,52,
Paulina,Alvarez Rodriguez,Independiente Acción Humanista,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 18,Del Maule,Diputado,52,
Rene,Lues Escobar,Independiente Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 7,De Valparaiso,Diputado,52,
Ruben,Rojo Sembler,Acción Humanista,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 2,De Tarapaca,Diputado,52,
Sebastian,Vega Umatino,Independiente Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 13,Metropolitana De Santiago,Diputado,52,
Sergio,Gonzalez Borquez,Independiente Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 27,De Aysen Del General Carlos Ibañez Del Campo,Diputado,52,
Thomas,Lorca Almonacid,Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 28,De Magallanes Y De La Antartica Chilena,Diputado,52,
Angel,Campos Diaz,Independiente Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 2,De Tarapaca,Diputado,53,
Carlo,Pezo Correa,Independiente Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 4,De Atacama,Diputado,53,
Catalina,Vidal Mendez,Acción Humanista,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 11,Metropolitana De Santiago,Diputado,53,
Claudia,Ruiz Montecino,Independiente Acción Humanista,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 10,Metropolitana De Santiago,Diputado,53,
Claudio,Turra Gonzalez,Independiente Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 26,De Los Lagos,Diputado,53,
Danahe,Rojas Mamani,Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 3,De Antofagasta,Diputado,53,
Daniel,Dominguez Gonzalez,Independiente Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 14,Metropolitana De Santiago,Diputado,53,
Daniela,Olavarria Moreira,Independiente Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 27,De Aysen Del General Carlos Ibañez Del Campo,Diputado,53,
Eduardo,Vargas Gonzalez,Independiente Acción Humanista,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 5,De Coquimbo,Diputado,53,
Edward Robinson,Flores Y Castillo,Independiente Acción Humanista,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 18,Del Maule,Diputado,53,1
Elia,Piedras Garrido,Independiente Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 17,Del Maule,Diputado,53,
Flora,Colipai Pafian,Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 25,De Los Lagos,Diputado,53,
Franklin Esteban,Gallardo Gallardo,Independiente Acción Humanista,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 15,Del Libertador General Bernardo O'Higgins,Diputado,53,
Giovanna,Grandon Caro,Independiente Acción Humanista,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 12,Metropolitana De Santiago,Diputado,53,
Jaime,Gonzalez Ramirez,Independiente Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 16,Del Libertador General Bernardo O'Higgins,Diputado,53,
Javier,Ibarra Reyes,Acción Humanista,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 8,Metropolitana De Santiago,Diputado,53,
Jova,Oporto Valenzuela,Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 24,De Los Rios,Diputado,53,
Paulina,Saldia Pinto,Independiente Acción Humanista,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 1,De Arica Y Parinacota,Diputado,53,
Priscila,Fleming Aranguiz,Independiente Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 7,De Valparaiso,Diputado,53,
Roberto,Videla Pavez,Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 6,De Valparaiso,Diputado,53,
Roxana,Riquelme Tabach,Independiente Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 13,Metropolitana De Santiago,Diputado,53,
Waleska,Ubierna Navarro,Acción Humanista,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 9,Metropolitana De Santiago,Diputado,53,
Angela,Cabezon Contreras,Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 7,De Valparaiso,Diputado,54,
Boris,Romero Bello,Independiente Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 27,De Aysen Del General Carlos Ibañez Del Campo,Diputado,54,
Carlos,Lizana Mardones,Independiente Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 25,De Los Lagos,Diputado,54,
Claudia,Morales Courtin,Independiente Acción Humanista,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 17,Del Maule,Diputado,54,
Daniela,Quezada Seron,Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 26,De Los Lagos,Diputado,54,
Daphne Saldaña,San Martin,Independiente Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 18,Del Maule,Diputado,54,1
Enzo,Morales Norambuena,Independiente Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 2,De Tarapaca,Diputado,54,
Fabrizio,Alday Valdovinos,Independiente Acción Humanista,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 12,Metropolitana De Santiago,Diputado,54,
Guillermo,Flores Contreras,Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 8,Metropolitana De Santiago,Diputado,54,
Hugo,Boza Valdenegro,Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 15,Del Libertador General Bernardo O'Higgins,Diputado,54,
Jaime,Vargas Guerra,Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 4,De Atacama,Diputado,54,
Jose Luis,Villagran Barahona,Independiente Acción Humanista,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 9,Metropolitana De Santiago,Diputado,54,
Luis Alejandro,Paredes Escanilla,Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 1,De Arica Y Parinacota,Diputado,54,
Luis Mariano,Rendon Escobar,Independiente Acción Humanista,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 10,Metropolitana De Santiago,Diputado,54,
Maria Carolina,Miranda Campos,Independiente Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 16,Del Libertador General Bernardo O'Higgins,Diputado,54,
Maria Claudia,Canales Lemus,Independiente Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 6,De Valparaiso,Diputado,54,
Maria Elena,Flores Martinez,Independiente Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 14,Metropolitana De Santiago,Diputado,54,
Maria Gloria,Lazcano Torres,Acción Humanista,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 3,De Antofagasta,Diputado,54,
Matias,Freire Vallejos,Independiente Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 13,Metropolitana De Santiago,Diputado,54,
Mireya,Corona Contreras,Independiente Acción Humanista,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 5,De Coquimbo,Diputado,54,
Pedro,Davis Urzua,Independiente Acción Humanista,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 11,Metropolitana De Santiago,Diputado,54,
Yessica,Gavilan Robles,Independiente Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 24,De Los Rios,Diputado,54,
Angela Selmira,Veliz Gonzalez,Independiente Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 18,Del Maule,Diputado,55,
Bernarda,Lagos Farfan,Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 14,Metropolitana De Santiago,Diputado,55,
Christian,Vittori Muñoz,Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 8,Metropolitana De Santiago,Diputado,55,
Claudia,Ruz Rothen,Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 10,Metropolitana De Santiago,Diputado,55,
Claudio,Cid Jara,Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 26,De Los Lagos,Diputado,55,
Eduardo,Sotomayor Ortiz,Acción Humanista,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 3,De Antofagasta,Diputado,55,
Emilia,Coñumil Quiñimil,Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 22,De La Araucania,Diputado,55,
Hernan,Palma Perez,Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 12,Metropolitana De Santiago,Diputado,55,
Javiera,Toledo Muñoz,Independiente Acción Humanista,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 6,De Valparaiso,Diputado,55,
Jose Ignacio,Avello Ortiz,Independiente Acción Humanista,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 17,Del Maule,Diputado,55,
Juan,Araya Mardones,Independiente Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 24,De Los Rios,Diputado,55,
Julieta,Varas Silva,Independiente Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 4,De Atacama,Diputado,55,
Marta,Gonzalez Olea,Independiente Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 15,Del Libertador General Bernardo O'Higgins,Diputado,55,
Myriam,Meza Ancaten,Acción Humanista,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 11,Metropolitana De Santiago,Diputado,55,
Pablo,Ramirez Inostroza,Acción Humanista,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 5,De Coquimbo,Diputado,55,
Pamela,Mansilla Lavado,Independiente Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 25,De Los Lagos,Diputado,55,
Pamela,Navarro Leppe,Independiente Acción Humanista,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 16,Del Libertador General Bernardo O'Higgins,Diputado,55,
Paola,Cadiz Nuñez,Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 9,Metropolitana De Santiago,Diputado,55,
Percy,Campos Coronel,Independiente Acción Humanista,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 13,Metropolitana De Santiago,Diputado,55,
Rodrigo,Ruiz Encina,Independiente Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 7,De Valparaiso,Diputado,55,
Antonio,Arriagada Jure,Independiente Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 10,Metropolitana De Santiago,Diputado,56,
Carlos,Morales Flores,Independiente Acción Humanista,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 14,Metropolitana De Santiago,Diputado,56,
Claudio,Ibañez Gonzalez,Independiente Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 5,De Coquimbo,Diputado,56,
David,Quezada Gomez,Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 8,Metropolitana De Santiago,Diputado,56,
Evelyn,Farias Ailio,Independiente Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 9,Metropolitana De Santiago,Diputado,56,
German,Rojas Volmar,Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 11,Metropolitana De Santiago,Diputado,56,
Gustavo,Lorca Quitral,Independiente Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 12,Metropolitana De Santiago,Diputado,56,
Hugo,Guzman Millan,Independiente Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 15,Del Libertador General Bernardo O'Higgins,Diputado,56,
Juan,Carcamo Carcamo,Independiente Federación Regionalista Verde Social,,,,Diputados 2025,"B. Verdes, Regionalistas y Humanistas",Distrito 26,De Los Lagos,Diputado,56,
