candidato_apellido,candidato_nombre,candidato_partido,pregunta_orden,pregunta_texto_ref,valor,justificacion,fuente_url
Duran Martinez,Felipe,Acción Humanista,12,El Senado debe aprobar el proyecto de eutanasia activa volun,5,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Postura tomada del vector base de la coalicion sin desviacion. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Duran Martinez,Felipe,Acción Humanista,13,El Senado debe declarar por ley las zonas de sacrificio como,5,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Postura tomada del vector base de la coalicion sin desviacion. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Duran Martinez,Felipe,Acción Humanista,14,El Senado debe aprobar la modernizacion de la Ley Antiterror,1,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Postura tomada del vector base de la coalicion sin desviacion. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Duran Martinez,Felipe,Acción Humanista,15,El Senado debe incluir escanos reservados permanentes para r,5,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Postura tomada del vector base de la coalicion sin desviacion. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Woldarsky Gonzalez,Manuel,Acción Humanista,1,"El Senado debe mantenerse como camara revisora del Congreso,",3,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Postura tomada del vector base de la coalicion sin desviacion. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Woldarsky Gonzalez,Manuel,Acción Humanista,2,El Senado debe endurecer el proceso de aprobacion de nombram,4,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Base coalicion=5, candidato=4 (RUIDO -1 deterministico). Refleja variacion intra-partido no verificada. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Woldarsky Gonzalez,Manuel,Acción Humanista,3,El Senado debe aprobar por ley una limitacion a dos periodos,5,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Postura tomada del vector base de la coalicion sin desviacion. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Woldarsky Gonzalez,Manuel,Acción Humanista,4,Chile debe restaurar el quorum de dos tercios para reformas ,1,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Base coalicion=2, candidato=1 (RUIDO -1 deterministico). Refleja variacion intra-partido no verificada. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Woldarsky Gonzalez,Manuel,Acción Humanista,5,El Senado debe reducirse de 50 a 43 escanos para racionaliza,4,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Base coalicion=3, candidato=4 (RUIDO +1 deterministico). Refleja variacion intra-partido no verificada. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Woldarsky Gonzalez,Manuel,Acción Humanista,6,El Senado debe promover el retiro de Chile del Tratado Integ,4,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Postura tomada del vector base de la coalicion sin desviacion. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Woldarsky Gonzalez,Manuel,Acción Humanista,7,El Senado debe aprobar el reconocimiento formal del Estado d,5,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Postura tomada del vector base de la coalicion sin desviacion. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Woldarsky Gonzalez,Manuel,Acción Humanista,8,Chile debe mantenerse dentro del Tratado Interamericano de A,1,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Postura tomada del vector base de la coalicion sin desviacion. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Woldarsky Gonzalez,Manuel,Acción Humanista,9,El Senado debe aprobar la reforma previsional aumentando el ,4,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Postura tomada del vector base de la coalicion sin desviacion. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Woldarsky Gonzalez,Manuel,Acción Humanista,10,"El royalty minero al cobre debe aumentarse por sobre el 4,7%",4,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Postura tomada del vector base de la coalicion sin desviacion. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Woldarsky Gonzalez,Manuel,Acción Humanista,11,"El Senado debe aprobar el fin del sistema de isapres, migran",3,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Base coalicion=4, candidato=3 (RUIDO -1 deterministico). Refleja variacion intra-partido no verificada. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Woldarsky Gonzalez,Manuel,Acción Humanista,12,El Senado debe aprobar el proyecto de eutanasia activa volun,5,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Postura tomada del vector base de la coalicion sin desviacion. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Woldarsky Gonzalez,Manuel,Acción Humanista,13,El Senado debe declarar por ley las zonas de sacrificio como,5,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Postura tomada del vector base de la coalicion sin desviacion. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Woldarsky Gonzalez,Manuel,Acción Humanista,14,El Senado debe aprobar la modernizacion de la Ley Antiterror,1,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Postura tomada del vector base de la coalicion sin desviacion. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Woldarsky Gonzalez,Manuel,Acción Humanista,15,El Senado debe incluir escanos reservados permanentes para r,5,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Postura tomada del vector base de la coalicion sin desviacion. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Paredes Escanilla,Mauricio,Federación Regionalista Verde Social,1,"El Senado debe mantenerse como camara revisora del Congreso,",4,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Base coalicion=3, candidato=4 (RUIDO +1 deterministico). Refleja variacion intra-partido no verificada. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Paredes Escanilla,Mauricio,Federación Regionalista Verde Social,2,El Senado debe endurecer el proceso de aprobacion de nombram,5,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Postura tomada del vector base de la coalicion sin desviacion. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Paredes Escanilla,Mauricio,Federación Regionalista Verde Social,3,El Senado debe aprobar por ley una limitacion a dos periodos,5,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Postura tomada del vector base de la coalicion sin desviacion. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Paredes Escanilla,Mauricio,Federación Regionalista Verde Social,4,Chile debe restaurar el quorum de dos tercios para reformas ,2,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Postura tomada del vector base de la coalicion sin desviacion. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Paredes Escanilla,Mauricio,Federación Regionalista Verde Social,5,El Senado debe reducirse de 50 a 43 escanos para racionaliza,3,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Postura tomada del vector base de la coalicion sin desviacion. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Paredes Escanilla,Mauricio,Federación Regionalista Verde Social,6,El Senado debe promover el retiro de Chile del Tratado Integ,3,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Base coalicion=4, candidato=3 (RUIDO -1 deterministico). Refleja variacion intra-partido no verificada. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Paredes Escanilla,Mauricio,Federación Regionalista Verde Social,8,Chile debe mantenerse dentro del Tratado Interamericano de A,1,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Postura tomada del vector base de la coalicion sin desviacion. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Paredes Escanilla,Mauricio,Federación Regionalista Verde Social,10,"El royalty minero al cobre debe aumentarse por sobre el 4,7%",3,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Base coalicion=4, candidato=3 (RUIDO -1 deterministico). Refleja variacion intra-partido no verificada. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Paredes Escanilla,Mauricio,Federación Regionalista Verde Social,11,"El Senado debe aprobar el fin del sistema de isapres, migran",5,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Base coalicion=4, candidato=5 (RUIDO +1 deterministico). Refleja variacion intra-partido no verificada. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Paredes Escanilla,Mauricio,Federación Regionalista Verde Social,12,El Senado debe aprobar el proyecto de eutanasia activa volun,4,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Base coalicion=5, candidato=4 (RUIDO -1 deterministico). Refleja variacion intra-partido no verificada. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Paredes Escanilla,Mauricio,Federación Regionalista Verde Social,13,El Senado debe declarar por ley las zonas de sacrificio como,5,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Postura tomada del vector base de la coalicion sin desviacion. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Paredes Escanilla,Mauricio,Federación Regionalista Verde Social,14,El Senado debe aprobar la modernizacion de la Ley Antiterror,1,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Postura tomada del vector base de la coalicion sin desviacion. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Calisto Aguila,Miguel Angel,Independiente Federación Regionalista Verde Social,1,"El Senado debe mantenerse como camara revisora del Congreso,",2,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Base coalicion=3, candidato=2 (RUIDO -1 deterministico). Refleja variacion intra-partido no verificada. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Calisto Aguila,Miguel Angel,Independiente Federación Regionalista Verde Social,2,El Senado debe endurecer el proceso de aprobacion de nombram,5,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Postura tomada del vector base de la coalicion sin desviacion. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Calisto Aguila,Miguel Angel,Independiente Federación Regionalista Verde Social,3,El Senado debe aprobar por ley una limitacion a dos periodos,4,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Base coalicion=5, candidato=4 (RUIDO -1 deterministico). Refleja variacion intra-partido no verificada. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Calisto Aguila,Miguel Angel,Independiente Federación Regionalista Verde Social,4,Chile debe restaurar el quorum de dos tercios para reformas ,2,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Postura tomada del vector base de la coalicion sin desviacion. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Calisto Aguila,Miguel Angel,Independiente Federación Regionalista Verde Social,5,El Senado debe reducirse de 50 a 43 escanos para racionaliza,2,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Base coalicion=3, candidato=2 (RUIDO -1 deterministico). Refleja variacion intra-partido no verificada. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Calisto Aguila,Miguel Angel,Independiente Federación Regionalista Verde Social,6,El Senado debe promover el retiro de Chile del Tratado Integ,4,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Postura tomada del vector base de la coalicion sin desviacion. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Calisto Aguila,Miguel Angel,Independiente Federación Regionalista Verde Social,7,El Senado debe aprobar el reconocimiento formal del Estado d,5,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Postura tomada del vector base de la coalicion sin desviacion. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Calisto Aguila,Miguel Angel,Independiente Federación Regionalista Verde Social,9,El Senado debe aprobar la reforma previsional aumentando el ,4,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Postura tomada del vector base de la coalicion sin desviacion. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Calisto Aguila,Miguel Angel,Independiente Federación Regionalista Verde Social,10,"El royalty minero al cobre debe aumentarse por sobre el 4,7%",5,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Base coalicion=4, candidato=5 (RUIDO +1 deterministico). Refleja variacion intra-partido no verificada. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Calisto Aguila,Miguel Angel,Independiente Federación Regionalista Verde Social,11,"El Senado debe aprobar el fin del sistema de isapres, migran",4,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Postura tomada del vector base de la coalicion sin desviacion. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Calisto Aguila,Miguel Angel,Independiente Federación Regionalista Verde Social,12,El Senado debe aprobar el proyecto de eutanasia activa volun,4,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Base coalicion=5, candidato=4 (RUIDO -1 deterministico). Refleja variacion intra-partido no verificada. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Calisto Aguila,Miguel Angel,Independiente Federación Regionalista Verde Social,13,El Senado debe declarar por ley las zonas de sacrificio como,5,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Postura tomada del vector base de la coalicion sin desviacion. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Calisto Aguila,Miguel Angel,Independiente Federación Regionalista Verde Social,14,El Senado debe aprobar la modernizacion de la Ley Antiterror,1,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Postura tomada del vector base de la coalicion sin desviacion. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Calisto Aguila,Miguel Angel,Independiente Federación Regionalista Verde Social,15,El Senado debe incluir escanos reservados permanentes para r,5,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Postura tomada del vector base de la coalicion sin desviacion. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Alzamora Aguirre,Paola,Acción Humanista,1,"El Senado debe mantenerse como camara revisora del Congreso,",4,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Base coalicion=3, candidato=4 (RUIDO +1 deterministico). Refleja variacion intra-partido no verificada. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Alzamora Aguirre,Paola,Acción Humanista,2,El Senado debe endurecer el proceso de aprobacion de nombram,5,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Postura tomada del vector base de la coalicion sin desviacion. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Alzamora Aguirre,Paola,Acción Humanista,3,El Senado debe aprobar por ley una limitacion a dos periodos,4,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Base coalicion=5, candidato=4 (RUIDO -1 deterministico). Refleja variacion intra-partido no verificada. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Alzamora Aguirre,Paola,Acción Humanista,4,Chile debe restaurar el quorum de dos tercios para reformas ,2,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Postura tomada del vector base de la coalicion sin desviacion. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Alzamora Aguirre,Paola,Acción Humanista,5,El Senado debe reducirse de 50 a 43 escanos para racionaliza,2,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Base coalicion=3, candidato=2 (RUIDO -1 deterministico). Refleja variacion intra-partido no verificada. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Alzamora Aguirre,Paola,Acción Humanista,7,El Senado debe aprobar el reconocimiento formal del Estado d,5,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Postura tomada del vector base de la coalicion sin desviacion. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Alzamora Aguirre,Paola,Acción Humanista,8,Chile debe mantenerse dentro del Tratado Interamericano de A,1,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Postura tomada del vector base de la coalicion sin desviacion. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Alzamora Aguirre,Paola,Acción Humanista,9,El Senado debe aprobar la reforma previsional aumentando el ,5,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Base coalicion=4, candidato=5 (RUIDO +1 deterministico). Refleja variacion intra-partido no verificada. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Alzamora Aguirre,Paola,Acción Humanista,10,"El royalty minero al cobre debe aumentarse por sobre el 4,7%",4,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Postura tomada del vector base de la coalicion sin desviacion. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Alzamora Aguirre,Paola,Acción Humanista,11,"El Senado debe aprobar el fin del sistema de isapres, migran",3,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Base coalicion=4, candidato=3 (RUIDO -1 deterministico). Refleja variacion intra-partido no verificada. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Alzamora Aguirre,Paola,Acción Humanista,12,El Senado debe aprobar el proyecto de eutanasia activa volun,5,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Postura tomada del vector base de la coalicion sin desviacion. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Alzamora Aguirre,Paola,Acción Humanista,13,El Senado debe declarar por ley las zonas de sacrificio como,5,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Postura tomada del vector base de la coalicion sin desviacion. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Alzamora Aguirre,Paola,Acción Humanista,14,El Senado debe aprobar la modernizacion de la Ley Antiterror,1,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Postura tomada del vector base de la coalicion sin desviacion. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Alzamora Aguirre,Paola,Acción Humanista,15,El Senado debe incluir escanos reservados permanentes para r,5,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Postura tomada del vector base de la coalicion sin desviacion. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
Araya Toro,Andrea,Acción Humanista,1,"El Senado debe mantenerse como camara revisora del Congreso,",4,"[INFERIDO POR LISTA: B. Verdes, Regionalistas y Humanistas] Base coalicion=3, candidato=4 (RUIDO +1 deterministico). Refleja variacion intra-partido no verificada. Data sintetica. NO es declaracion personal del candidato. Ver dataset/README.md.",https://es.wikipedia.org/wiki/Federaci%C3%B3n_Regionalista_Verde_Social
