eleccion,nro_lista,candidato,region,territorio,lista,partido,gano
Diputado,51,Alexis Zuñiga Jelvez,Del Biobio,Distrito 21,A. Partido Ecologista Verde,Ecologista Verde,NO
Diputado,51,Felipe Aylwin Lagos,De Ñuble,Distrito 19,A. Partido Ecologista Verde,Ecologista Verde,NO
Diputado,51,Felix Gonzalez Gatica,Del Biobio,Distrito 20,A. Partido Ecologista Verde,Ecologista Verde,NO
Diputado,51,Jessica Mendez Canaves,De La Araucania,Distrito 23,A. Partido Ecologista Verde,Ecologista Verde,NO
Diputado,51,Valentina Saez Casanova,De La Araucania,Distrito 22,A. Partido Ecologista Verde,Ecologista Verde,NO
Diputado,52,Elizabeth Mujica Zepeda,Del Biobio,Distrito 20,A. Partido Ecologista Verde,Ecologista Verde,NO
Diputado,52,Graciela Huenuman Lincopi,De Ñuble,Distrito 19,A. Partido Ecologista Verde,Ecologista Verde,NO
Diputado,52,Ivan Gorky Rojas Villagra,De La Araucania,Distrito 23,A. Partido Ecologista Verde,Ecologista Verde,NO
Diputado,52,Johanna Barra Astudillo,Del Biobio,Distrito 21,A. Partido Ecologista Verde,Ecologista Verde,NO
Diputado,52,Raul Huilcal Barria,De La Araucania,Distrito 22,A. Partido Ecologista Verde,Ecologista Verde,NO
Diputado,53,Constanza Gonzalez Gonzalez,De La Araucania,Distrito 23,A. Partido Ecologista Verde,Ecologista Verde,NO
Diputado,53,Hernan Pino Seguel,Del Biobio,Distrito 20,A. Partido Ecologista Verde,Ecologista Verde,NO
Diputado,53,Patricio Antonio Palma Molina,De Ñuble,Distrito 19,A. Partido Ecologista Verde,Ecologista Verde,NO
Diputado,53,Pedro Pablo Valenzuela Castro,Del Biobio,Distrito 21,A. Partido Ecologista Verde,Ecologista Verde,NO
Diputado,53,Wanglen Mila Huenumilla,De La Araucania,Distrito 22,A. Partido Ecologista Verde,Ecologista Verde,NO
Diputado,54,Atrix Badilla Hernandez,Del Biobio,Distrito 20,A. Partido Ecologista Verde,Ecologista Verde,NO
Diputado,54,Barbara Lepez Monsalvez,Del Biobio,Distrito 21,A. Partido Ecologista Verde,Ecologista Verde,NO
Diputado,54,Eduardo Cuellar Ferreira,De La Araucania,Distrito 22,A. Partido Ecologista Verde,Ecologista Verde,NO
Diputado,54,Eliana Sanhueza Ortiz,De Ñuble,Distrito 19,A. Partido Ecologista Verde,Ecologista Verde,NO
Diputado,54,Victor Vilches Vargas,De La Araucania,Distrito 23,A. Partido Ecologista Verde,Ecologista Verde,NO
Diputado,55,Carolina Monsalves Sanhueza,De Ñuble,Distrito 19,A. Partido Ecologista Verde,Ecologista Verde,NO
Diputado,55,Doris Blanco Llanquileo,De La Araucania,Distrito 23,A. Partido Ecologista Verde,Ecologista Verde,NO
Diputado,55,Felipe Arancibia Labraña,Del Biobio,Distrito 20,A. Partido Ecologista Verde,Ecologista Verde,NO
Diputado,51,Ana Maria Gazmuri Vieira,Metropolitana De Santiago,Distrito 12,"B. Verdes, Regionalistas y Humanistas",Acción Humanista,SI
Diputado,51,Antonio Carvacho Cardenas,Del Libertador General Bernardo O'Higgins,Distrito 16,"B. Verdes, Regionalistas y Humanistas",Federación Regionalista Verde Social,NO
Diputado,51,Cecilia Bravo Moraga,De Los Rios,Distrito 24,"B. Verdes, Regionalistas y Humanistas",Federación Regionalista Verde Social,NO
Diputado,51,Cesar Leiva Rubio,Metropolitana De Santiago,Distrito 8,"B. Verdes, Regionalistas y Humanistas",Independiente Acción Humanista,NO
Diputado,51,Daniela Molina Barrera,De Coquimbo,Distrito 5,"B. Verdes, Regionalistas y Humanistas",Acción Humanista,NO
Diputado,51,Francisco Estevez Valencia,Metropolitana De Santiago,Distrito 10,"B. Verdes, Regionalistas y Humanistas",Independiente Acción Humanista,NO
Diputado,51,Gustavo Lobos Contreras,De Los Lagos,Distrito 25,"B. Verdes, Regionalistas y Humanistas",Federación Regionalista Verde Social,NO
Diputado,51,Hernan Velasquez Nuñez,De Antofagasta,Distrito 3,"B. Verdes, Regionalistas y Humanistas",Federación Regionalista Verde Social,NO
Diputado,51,Jaime Mulet Martinez,De Atacama,Distrito 4,"B. Verdes, Regionalistas y Humanistas",Federación Regionalista Verde Social,SI
Diputado,51,Jorge Sharp Fajardo,De Valparaiso,Distrito 7,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Diputado,51,Jose Eduardo Gonzalez Gaete,Del Maule,Distrito 17,"B. Verdes, Regionalistas y Humanistas",Federación Regionalista Verde Social,NO
Diputado,51,Jose Silva Diaz,Metropolitana De Santiago,Distrito 13,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Diputado,51,Marco Calcagno Zuleta,De Tarapaca,Distrito 2,"B. Verdes, Regionalistas y Humanistas",Independiente Acción Humanista,NO
Diputado,51,Nicolas Salgado Ahumada,Del Libertador General Bernardo O'Higgins,Distrito 15,"B. Verdes, Regionalistas y Humanistas",Independiente Acción Humanista,NO
Diputado,51,Octavio Gonzalez Ojeda,De Valparaiso,Distrito 6,"B. Verdes, Regionalistas y Humanistas",Federación Regionalista Verde Social,NO
Diputado,51,Pilar Farfan Villagra,Metropolitana De Santiago,Distrito 14,"B. Verdes, Regionalistas y Humanistas",Federación Regionalista Verde Social,NO
Diputado,51,Rene Alinco Bustos,De Aysen Del General Carlos Ibañez Del Campo,Distrito 27,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,SI
Diputado,51,Ricardo Sanzana Oteiza,De Arica Y Parinacota,Distrito 1,"B. Verdes, Regionalistas y Humanistas",Independiente Acción Humanista,NO
Diputado,51,Rodrigo Bravo Bustos,Del Maule,Distrito 18,"B. Verdes, Regionalistas y Humanistas",Acción Humanista,NO
Diputado,51,Rodrigo Utz Contreras,De Magallanes Y De La Antartica Chilena,Distrito 28,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Diputado,51,Tomas Hirsch Goldschmidt,Metropolitana De Santiago,Distrito 11,"B. Verdes, Regionalistas y Humanistas",Acción Humanista,NO
Diputado,52,Ariel Mateluna Mateluna,Metropolitana De Santiago,Distrito 9,"B. Verdes, Regionalistas y Humanistas",Independiente Acción Humanista,NO
Diputado,52,Carlos Astudillo Ulloa,Metropolitana De Santiago,Distrito 8,"B. Verdes, Regionalistas y Humanistas",Independiente Acción Humanista,NO
Diputado,52,Carolina Armenakis Daher,De Atacama,Distrito 4,"B. Verdes, Regionalistas y Humanistas",Federación Regionalista Verde Social,NO
Diputado,52,Claudia Jofre Vidal,De Valparaiso,Distrito 6,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Diputado,52,Claudia Valenzuela Torres,De Coquimbo,Distrito 5,"B. Verdes, Regionalistas y Humanistas",Independiente Acción Humanista,NO
Diputado,52,Claudio Segovia Cofre,Del Libertador General Bernardo O'Higgins,Distrito 15,"B. Verdes, Regionalistas y Humanistas",Independiente Acción Humanista,NO
Diputado,52,Cristian Diaz Correa,Del Libertador General Bernardo O'Higgins,Distrito 16,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Diputado,52,Elizabeth Contreras Becerra,Metropolitana De Santiago,Distrito 11,"B. Verdes, Regionalistas y Humanistas",Independiente Acción Humanista,NO
Diputado,52,Evelyn Bastias Araya,Metropolitana De Santiago,Distrito 14,"B. Verdes, Regionalistas y Humanistas",Federación Regionalista Verde Social,NO
Diputado,52,Gloria Carolina Perez Sepulveda,Metropolitana De Santiago,Distrito 10,"B. Verdes, Regionalistas y Humanistas",Independiente Acción Humanista,NO
Diputado,52,Leonardo Valenzuela Atenas,De Arica Y Parinacota,Distrito 1,"B. Verdes, Regionalistas y Humanistas",Acción Humanista,NO
Diputado,52,Manuel Rivera Altamirano,De Los Lagos,Distrito 25,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Diputado,52,Margarita Paz Araya Flores,Metropolitana De Santiago,Distrito 12,"B. Verdes, Regionalistas y Humanistas",Acción Humanista,NO
Diputado,52,Mario Montecinos Aros,De Los Rios,Distrito 24,"B. Verdes, Regionalistas y Humanistas",Federación Regionalista Verde Social,NO
Diputado,52,Marion Tapia Gonzalez,De Antofagasta,Distrito 3,"B. Verdes, Regionalistas y Humanistas",Federación Regionalista Verde Social,NO
Diputado,52,Marisol Perez Saavedra,Del Maule,Distrito 17,"B. Verdes, Regionalistas y Humanistas",Federación Regionalista Verde Social,NO
Diputado,52,Marisol Rosas Alvarado,De Los Lagos,Distrito 26,"B. Verdes, Regionalistas y Humanistas",Federación Regionalista Verde Social,NO
Diputado,52,Paulina Alvarez Rodriguez,Del Maule,Distrito 18,"B. Verdes, Regionalistas y Humanistas",Independiente Acción Humanista,NO
Diputado,52,Rene Lues Escobar,De Valparaiso,Distrito 7,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Diputado,52,Ruben Rojo Sembler,De Tarapaca,Distrito 2,"B. Verdes, Regionalistas y Humanistas",Acción Humanista,NO
Diputado,52,Sebastian Vega Umatino,Metropolitana De Santiago,Distrito 13,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Diputado,52,Sergio Gonzalez Borquez,De Aysen Del General Carlos Ibañez Del Campo,Distrito 27,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Diputado,52,Thomas Lorca Almonacid,De Magallanes Y De La Antartica Chilena,Distrito 28,"B. Verdes, Regionalistas y Humanistas",Federación Regionalista Verde Social,NO
Diputado,53,Angel Campos Diaz,De Tarapaca,Distrito 2,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Diputado,53,Carlo Pezo Correa,De Atacama,Distrito 4,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Diputado,53,Catalina Vidal Mendez,Metropolitana De Santiago,Distrito 11,"B. Verdes, Regionalistas y Humanistas",Acción Humanista,NO
Diputado,53,Claudia Ruiz Montecino,Metropolitana De Santiago,Distrito 10,"B. Verdes, Regionalistas y Humanistas",Independiente Acción Humanista,NO
Diputado,53,Claudio Turra Gonzalez,De Los Lagos,Distrito 26,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Diputado,53,Danahe Rojas Mamani,De Antofagasta,Distrito 3,"B. Verdes, Regionalistas y Humanistas",Federación Regionalista Verde Social,NO
Diputado,53,Daniel Dominguez Gonzalez,Metropolitana De Santiago,Distrito 14,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Diputado,53,Daniela Olavarria Moreira,De Aysen Del General Carlos Ibañez Del Campo,Distrito 27,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Diputado,53,Eduardo Vargas Gonzalez,De Coquimbo,Distrito 5,"B. Verdes, Regionalistas y Humanistas",Independiente Acción Humanista,NO
Diputado,53,Edward Robinson Flores Y Castillo,Del Maule,Distrito 18,"B. Verdes, Regionalistas y Humanistas",Independiente Acción Humanista,NO
Diputado,53,Elia Piedras Garrido,Del Maule,Distrito 17,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Diputado,53,Flora Colipai Pafian,De Los Lagos,Distrito 25,"B. Verdes, Regionalistas y Humanistas",Federación Regionalista Verde Social,NO
Diputado,53,Franklin Esteban Gallardo Gallardo,Del Libertador General Bernardo O'Higgins,Distrito 15,"B. Verdes, Regionalistas y Humanistas",Independiente Acción Humanista,NO
Diputado,53,Giovanna Grandon Caro,Metropolitana De Santiago,Distrito 12,"B. Verdes, Regionalistas y Humanistas",Independiente Acción Humanista,NO
Diputado,53,Jaime Gonzalez Ramirez,Del Libertador General Bernardo O'Higgins,Distrito 16,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Diputado,53,Javier Ibarra Reyes,Metropolitana De Santiago,Distrito 8,"B. Verdes, Regionalistas y Humanistas",Acción Humanista,NO
Diputado,53,Jova Oporto Valenzuela,De Los Rios,Distrito 24,"B. Verdes, Regionalistas y Humanistas",Federación Regionalista Verde Social,NO
Diputado,53,Paulina Saldia Pinto,De Arica Y Parinacota,Distrito 1,"B. Verdes, Regionalistas y Humanistas",Independiente Acción Humanista,NO
Diputado,53,Priscila Fleming Aranguiz,De Valparaiso,Distrito 7,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Diputado,53,Roberto Videla Pavez,De Valparaiso,Distrito 6,"B. Verdes, Regionalistas y Humanistas",Federación Regionalista Verde Social,NO
Diputado,53,Roxana Riquelme Tabach,Metropolitana De Santiago,Distrito 13,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Diputado,53,Waleska Ubierna Navarro,Metropolitana De Santiago,Distrito 9,"B. Verdes, Regionalistas y Humanistas",Acción Humanista,NO
Diputado,54,Angela Cabezon Contreras,De Valparaiso,Distrito 7,"B. Verdes, Regionalistas y Humanistas",Federación Regionalista Verde Social,NO
Diputado,54,Boris Romero Bello,De Aysen Del General Carlos Ibañez Del Campo,Distrito 27,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Diputado,54,Carlos Lizana Mardones,De Los Lagos,Distrito 25,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Diputado,54,Claudia Morales Courtin,Del Maule,Distrito 17,"B. Verdes, Regionalistas y Humanistas",Independiente Acción Humanista,NO
Diputado,54,Daniela Quezada Seron,De Los Lagos,Distrito 26,"B. Verdes, Regionalistas y Humanistas",Federación Regionalista Verde Social,NO
Diputado,54,Daphne Saldaña San Martin,Del Maule,Distrito 18,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Diputado,54,Enzo Morales Norambuena,De Tarapaca,Distrito 2,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Diputado,54,Fabrizio Alday Valdovinos,Metropolitana De Santiago,Distrito 12,"B. Verdes, Regionalistas y Humanistas",Independiente Acción Humanista,NO
Diputado,54,Guillermo Flores Contreras,Metropolitana De Santiago,Distrito 8,"B. Verdes, Regionalistas y Humanistas",Federación Regionalista Verde Social,NO
Diputado,54,Hugo Boza Valdenegro,Del Libertador General Bernardo O'Higgins,Distrito 15,"B. Verdes, Regionalistas y Humanistas",Federación Regionalista Verde Social,NO
Diputado,54,Jaime Vargas Guerra,De Atacama,Distrito 4,"B. Verdes, Regionalistas y Humanistas",Federación Regionalista Verde Social,NO
Diputado,54,Jose Luis Villagran Barahona,Metropolitana De Santiago,Distrito 9,"B. Verdes, Regionalistas y Humanistas",Independiente Acción Humanista,NO
Diputado,54,Luis Alejandro Paredes Escanilla,De Arica Y Parinacota,Distrito 1,"B. Verdes, Regionalistas y Humanistas",Federación Regionalista Verde Social,NO
Diputado,54,Luis Mariano Rendon Escobar,Metropolitana De Santiago,Distrito 10,"B. Verdes, Regionalistas y Humanistas",Independiente Acción Humanista,NO
Diputado,54,Maria Carolina Miranda Campos,Del Libertador General Bernardo O'Higgins,Distrito 16,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Diputado,54,Maria Claudia Canales Lemus,De Valparaiso,Distrito 6,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Diputado,54,Maria Elena Flores Martinez,Metropolitana De Santiago,Distrito 14,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Diputado,54,Maria Gloria Lazcano Torres,De Antofagasta,Distrito 3,"B. Verdes, Regionalistas y Humanistas",Acción Humanista,NO
Diputado,54,Matias Freire Vallejos,Metropolitana De Santiago,Distrito 13,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Diputado,54,Mireya Corona Contreras,De Coquimbo,Distrito 5,"B. Verdes, Regionalistas y Humanistas",Independiente Acción Humanista,NO
Diputado,54,Pedro Davis Urzua,Metropolitana De Santiago,Distrito 11,"B. Verdes, Regionalistas y Humanistas",Independiente Acción Humanista,NO
Diputado,54,Yessica Gavilan Robles,De Los Rios,Distrito 24,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Diputado,55,Angela Selmira Veliz Gonzalez,Del Maule,Distrito 18,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Diputado,55,Bernarda Lagos Farfan,Metropolitana De Santiago,Distrito 14,"B. Verdes, Regionalistas y Humanistas",Federación Regionalista Verde Social,NO
Diputado,55,Christian Vittori Muñoz,Metropolitana De Santiago,Distrito 8,"B. Verdes, Regionalistas y Humanistas",Federación Regionalista Verde Social,NO
Diputado,55,Claudia Ruz Rothen,Metropolitana De Santiago,Distrito 10,"B. Verdes, Regionalistas y Humanistas",Federación Regionalista Verde Social,NO
Diputado,55,Claudio Cid Jara,De Los Lagos,Distrito 26,"B. Verdes, Regionalistas y Humanistas",Federación Regionalista Verde Social,NO
Diputado,55,Eduardo Sotomayor Ortiz,De Antofagasta,Distrito 3,"B. Verdes, Regionalistas y Humanistas",Acción Humanista,NO
Diputado,55,Emilia Coñumil Quiñimil,De La Araucania,Distrito 22,"B. Verdes, Regionalistas y Humanistas",Federación Regionalista Verde Social,NO
Diputado,55,Hernan Palma Perez,Metropolitana De Santiago,Distrito 12,"B. Verdes, Regionalistas y Humanistas",Federación Regionalista Verde Social,NO
Diputado,55,Javiera Toledo Muñoz,De Valparaiso,Distrito 6,"B. Verdes, Regionalistas y Humanistas",Independiente Acción Humanista,NO
Diputado,55,Jose Ignacio Avello Ortiz,Del Maule,Distrito 17,"B. Verdes, Regionalistas y Humanistas",Independiente Acción Humanista,NO
Diputado,55,Juan Araya Mardones,De Los Rios,Distrito 24,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Diputado,55,Julieta Varas Silva,De Atacama,Distrito 4,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Diputado,55,Marta Gonzalez Olea,Del Libertador General Bernardo O'Higgins,Distrito 15,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Diputado,55,Myriam Meza Ancaten,Metropolitana De Santiago,Distrito 11,"B. Verdes, Regionalistas y Humanistas",Acción Humanista,NO
Diputado,55,Pablo Ramirez Inostroza,De Coquimbo,Distrito 5,"B. Verdes, Regionalistas y Humanistas",Acción Humanista,NO
Diputado,55,Pamela Mansilla Lavado,De Los Lagos,Distrito 25,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Diputado,55,Pamela Navarro Leppe,Del Libertador General Bernardo O'Higgins,Distrito 16,"B. Verdes, Regionalistas y Humanistas",Independiente Acción Humanista,NO
Diputado,55,Paola Cadiz Nuñez,Metropolitana De Santiago,Distrito 9,"B. Verdes, Regionalistas y Humanistas",Federación Regionalista Verde Social,NO
Diputado,55,Percy Campos Coronel,Metropolitana De Santiago,Distrito 13,"B. Verdes, Regionalistas y Humanistas",Independiente Acción Humanista,NO
Diputado,55,Rodrigo Ruiz Encina,De Valparaiso,Distrito 7,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Diputado,56,Antonio Arriagada Jure,Metropolitana De Santiago,Distrito 10,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Diputado,56,Carlos Morales Flores,Metropolitana De Santiago,Distrito 14,"B. Verdes, Regionalistas y Humanistas",Independiente Acción Humanista,NO
Diputado,56,Claudio Ibañez Gonzalez,De Coquimbo,Distrito 5,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Diputado,56,David Quezada Gomez,Metropolitana De Santiago,Distrito 8,"B. Verdes, Regionalistas y Humanistas",Federación Regionalista Verde Social,NO
Diputado,56,Evelyn Farias Ailio,Metropolitana De Santiago,Distrito 9,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Diputado,56,German Rojas Volmar,Metropolitana De Santiago,Distrito 11,"B. Verdes, Regionalistas y Humanistas",Federación Regionalista Verde Social,NO
Diputado,56,Gustavo Lorca Quitral,Metropolitana De Santiago,Distrito 12,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Diputado,56,Hugo Guzman Millan,Del Libertador General Bernardo O'Higgins,Distrito 15,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Diputado,56,Juan Carcamo Carcamo,De Los Lagos,Distrito 26,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Diputado,56,Lautaro Guanca Vallejos,De La Araucania,Distrito 22,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Diputado,56,Luis Islas Cofre,Del Biobio,Distrito 21,"B. Verdes, Regionalistas y Humanistas",Federación Regionalista Verde Social,NO
Diputado,56,Marco Ramo Paez,De Antofagasta,Distrito 3,"B. Verdes, Regionalistas y Humanistas",Acción Humanista,NO
Diputado,56,Sandra Patricia Sanchez Aguilar,Del Maule,Distrito 17,"B. Verdes, Regionalistas y Humanistas",Independiente Acción Humanista,NO
Diputado,56,Tania Madriaga Flores,De Valparaiso,Distrito 7,"B. Verdes, Regionalistas y Humanistas",Acción Humanista,NO
Diputado,56,Yanixsa Aguilera Catalan,De Valparaiso,Distrito 6,"B. Verdes, Regionalistas y Humanistas",Independiente Acción Humanista,NO
Diputado,57,Alejandro Campusano Massad,De Coquimbo,Distrito 5,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Diputado,57,Carlos Muñoz Lecerf,De Valparaiso,Distrito 7,"B. Verdes, Regionalistas y Humanistas",Independiente Acción Humanista,NO
Diputado,57,Erica Velasquez Montenegro,Metropolitana De Santiago,Distrito 8,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Diputado,57,Javiera Gonzalez Arenas,Metropolitana De Santiago,Distrito 10,"B. Verdes, Regionalistas y Humanistas",Federación Regionalista Verde Social,NO
Diputado,57,Jose Nuñez Herrera,Del Maule,Distrito 17,"B. Verdes, Regionalistas y Humanistas",Independiente Acción Humanista,NO
Diputado,57,Jose Sepulveda Zelada,Metropolitana De Santiago,Distrito 9,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Diputado,57,Juan Pablo Jaramillo Gonzalez,De La Araucania,Distrito 22,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Diputado,57,Melina Gianelli Altamirano,Metropolitana De Santiago,Distrito 11,"B. Verdes, Regionalistas y Humanistas",Federación Regionalista Verde Social,NO
Diputado,57,Pamela Gonzalez Muñoz,De Valparaiso,Distrito 6,"B. Verdes, Regionalistas y Humanistas",Independiente Acción Humanista,NO
Diputado,57,Ricardo Santana Perez,Metropolitana De Santiago,Distrito 12,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Diputado,57,Rodrigo Reinoso Cendoya,Del Biobio,Distrito 21,"B. Verdes, Regionalistas y Humanistas",Federación Regionalista Verde Social,NO
Diputado,57,Sara Pascual Rodriguez,Metropolitana De Santiago,Distrito 14,"B. Verdes, Regionalistas y Humanistas",Acción Humanista,NO
Diputado,57,Wilson Olivares Bustamante,De Ñuble,Distrito 19,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Diputado,58,Daniel Sandoval Poblete,De La Araucania,Distrito 23,"B. Verdes, Regionalistas y Humanistas",Federación Regionalista Verde Social,NO
Diputado,58,Francisca Salama Pimentel,De Valparaiso,Distrito 6,"B. Verdes, Regionalistas y Humanistas",Independiente Acción Humanista,NO
Diputado,58,Jaime Cayuqueo Zambrano,Metropolitana De Santiago,Distrito 8,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
Diputado,58,Joaquin Sanhueza Villaman,Del Biobio,Distrito 21,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,NO
