eleccion,nro_lista,candidato,region,territorio,lista,partido,parlid
Diputado,113,Hans Marowski Cuevas,Metropolitana De Santiago,Distrito 10,K. Cambio por Chile,Nacional Libertario,1223
Diputado,64,Patricio Pinilla Valencia,Del Biobio,Distrito 21,C. Unidad por Chile,Demócrata Cristiano,1241
Diputado,69,Rodrigo Ramirez Parra,Del Maule,Distrito 18,J. Chile Grande y Unido,Independiente Renovación Nacional,1242
Diputado,99,Cristian Neira Martinez,De La Araucania,Distrito 23,K. Cambio por Chile,Republicano de Chile,1232
Diputado,58,Andrea Parra Sauterel,De La Araucania,Distrito 22,C. Unidad por Chile,Por La Democracia,1061
Diputado,64,Iraci Hassler Jacob,Metropolitana De Santiago,Distrito 10,C. Unidad por Chile,Comunista de Chile,1213
Diputado,81,Juan Marcelo Valenzuela Henriquez,De Valparaiso,Distrito 7,I. Partido de la Gente,De la Gente,1259
Diputado,51,Rene Alinco Bustos,De Aysen Del General Carlos Ibañez Del Campo,Distrito 27,"B. Verdes, Regionalistas y Humanistas",Independiente Federación Regionalista Verde Social,803
Diputado,88,Andres Celis Montt,De Valparaiso,Distrito 7,J. Chile Grande y Unido,Renovación Nacional,1021
Diputado,88,Ximena Ossandon Irarrazabal,Metropolitana De Santiago,Distrito 12,J. Chile Grande y Unido,Renovación Nacional,1059
Diputado,57,Gael Yeomans Araya,Metropolitana De Santiago,Distrito 13,C. Unidad por Chile,Frente Amplio,1087
Diputado,56,Felix Bugueño Sotelo,Del Libertador General Bernardo O'Higgins,Distrito 16,C. Unidad por Chile,Frente Amplio,1114
Diputado,89,Juan Irarrazaval Rossel,Metropolitana De Santiago,Distrito 14,K. Cambio por Chile,Republicano de Chile,1133
Diputado,68,Coca Ñanco Vasquez,De La Araucania,Distrito 23,C. Unidad por Chile,Frente Amplio,1153
Diputado,59,Carolina Tello Rojas,De Coquimbo,Distrito 5,C. Unidad por Chile,Frente Amplio,1177
Diputado,73,Daniel Bustos Leal,Del Maule,Distrito 18,K. Cambio por Chile,Republicano de Chile,1194
Diputado,83,Zandra Parisi Fernandez,Metropolitana De Santiago,Distrito 12,I. Partido de la Gente,De la Gente,1240
Diputado,64,Carlos Cuadrado Prats,Metropolitana De Santiago,Distrito 9,C. Unidad por Chile,Por La Democracia,1205
Diputado,62,Bernardo Salinas Maya,De Coquimbo,Distrito 5,C. Unidad por Chile,Independiente Comunista de Chile,1250
Diputado,74,Stephanie Jeldrez Ortiz,De Arica Y Parinacota,Distrito 1,K. Cambio por Chile,Republicano de Chile,1216
Diputado,81,Benjamin Moreno Bascur,Del Maule,Distrito 17,K. Cambio por Chile,Republicano de Chile,1150
Diputado,66,Tatiana Urrutia Herrera,Metropolitana De Santiago,Distrito 8,C. Unidad por Chile,Frente Amplio,1256
Diputado,60,Marcela Hernando Perez,De Antofagasta,Distrito 3,C. Unidad por Chile,Radical de Chile,986
Diputado,57,Raul Soto Mardones,Del Libertador General Bernardo O'Higgins,Distrito 15,C. Unidad por Chile,Por La Democracia,1077
Diputado,77,Eduardo Duran Salinas,Metropolitana De Santiago,Distrito 13,J. Chile Grande y Unido,Renovación Nacional,1028
Diputado,61,Nathalie Castillo Rojas,De Coquimbo,Distrito 5,C. Unidad por Chile,Comunista de Chile,1117
Diputado,62,Nelson Venegas Salazar,De Valparaiso,Distrito 6,C. Unidad por Chile,Socialista de Chile,1181
Diputado,61,Javier Muñoz Riquelme,Del Maule,Distrito 17,C. Unidad por Chile,Demócrata Cristiano,1229
Diputado,87,Constanza Hube Portus,Metropolitana De Santiago,Distrito 11,J. Chile Grande y Unido,Unión Demócrata Independiente,1214
Diputado,84,Valentina Becerra Peña,Metropolitana De Santiago,Distrito 13,K. Cambio por Chile,Republicano de Chile,1191
Diputado,66,Sofia Gonzalez Cortes,De Valparaiso,Distrito 6,C. Unidad por Chile,Comunista de Chile,1211
Diputado,74,Cristian Menchaca Pinochet,Del Maule,Distrito 18,K. Cambio por Chile,Independiente Republicano de Chile,1225
Diputado,90,Tomas Kast Sommerhoff,De La Araucania,Distrito 23,J. Chile Grande y Unido,Evolución Política,1219
Diputado,62,Jaime Bassa Mercado,De Valparaiso,Distrito 7,C. Unidad por Chile,Frente Amplio,1189
Diputado,83,Felipe Ross Correa,Metropolitana De Santiago,Distrito 13,K. Cambio por Chile,Republicano de Chile,1248
Diputado,78,Ignacio Urcullu Clement-Lund,De Atacama,Distrito 4,K. Cambio por Chile,Republicano de Chile,1254
Diputado,100,Sebastian Zamora Soto,De Valparaiso,Distrito 7,K. Cambio por Chile,Independiente Republicano de Chile,1263
Diputado,112,Francisco Orrego Gutierrez,Metropolitana De Santiago,Distrito 10,J. Chile Grande y Unido,Renovación Nacional,1237
Diputado,61,Jorge Brito Hasbun,De Valparaiso,Distrito 7,C. Unidad por Chile,Frente Amplio,1015
Diputado,60,Marisela Santibañez Novoa,Metropolitana De Santiago,Distrito 14,C. Unidad por Chile,Independiente Comunista de Chile,1074
Diputado,62,Felipe Camaño Cardenas,De Ñuble,Distrito 19,C. Unidad por Chile,Independiente Demócrata Cristiano,1116
Diputado,56,Lorena Pizarro Sierra,Metropolitana De Santiago,Distrito 13,C. Unidad por Chile,Comunista de Chile,1159
Diputado,95,Enrique Bassaletti Riess,Metropolitana De Santiago,Distrito 8,K. Cambio por Chile,Independiente Republicano de Chile,1190
Diputado,62,Gustavo Gatica Villarroel,Metropolitana De Santiago,Distrito 8,C. Unidad por Chile,Independiente Comunista de Chile,1210
Diputado,63,Luis Cuello Peña Y Lillo,De Valparaiso,Distrito 7,C. Unidad por Chile,Comunista de Chile,1122
Diputado,51,Jaime Mulet Martinez,De Atacama,Distrito 4,"B. Verdes, Regionalistas y Humanistas",Federación Regionalista Verde Social,872
Diputado,103,Francesca Muñoz Gonzalez,Del Biobio,Distrito 20,K. Cambio por Chile,Social Cristiano,1054
Diputado,88,Cristian Araya Lerdo De Tejada,Metropolitana De Santiago,Distrito 11,K. Cambio por Chile,Republicano de Chile,1100
Diputado,57,Hector Ulloa Aguilera,De Los Lagos,Distrito 26,C. Unidad por Chile,Independiente Por La Democracia,1178
Diputado,73,Eduardo Cretton Rebolledo,De La Araucania,Distrito 22,J. Chile Grande y Unido,Unión Demócrata Independiente,1202
Diputado,69,Ricardo Neumann Bertin,Del Libertador General Bernardo O'Higgins,Distrito 16,J. Chile Grande y Unido,Unión Demócrata Independiente,1233
Diputado,94,Sergio Bobadilla Muñoz,Del Biobio,Distrito 20,J. Chile Grande y Unido,Unión Demócrata Independiente,815
Diputado,81,Pamela Jiles Moreno,Metropolitana De Santiago,Distrito 12,I. Partido de la Gente,De la Gente,1039
Diputado,73,Joanna Perez Olea,Del Biobio,Distrito 21,J. Chile Grande y Unido,Demócratas Chile,1062
Diputado,79,Cristobal Urruticoechea Rios,Del Biobio,Distrito 21,K. Cambio por Chile,Nacional Libertario,1082
Diputado,72,Juan Carlos Beltran Silva,De La Araucania,Distrito 22,J. Chile Grande y Unido,Renovación Nacional,1108
Diputado,51,Ana Maria Gazmuri Vieira,Metropolitana De Santiago,Distrito 12,"B. Verdes, Regionalistas y Humanistas",Acción Humanista,1128
Diputado,96,Jose Carlos Meza Pereira,Metropolitana De Santiago,Distrito 9,K. Cambio por Chile,Republicano de Chile,1146
Diputado,85,Natalia Romero Talguia,Del Libertador General Bernardo O'Higgins,Distrito 15,J. Chile Grande y Unido,Independiente Unión Demócrata Independiente,1166
Diputado,96,Hotuiti Teao Drago,De Valparaiso,Distrito 7,J. Chile Grande y Unido,Independiente Unión Demócrata Independiente,1176
Diputado,63,Marcos Barraza Gomez,Metropolitana De Santiago,Distrito 8,C. Unidad por Chile,Comunista de Chile,1188
Diputado,92,Carlos Chandia Alarcon,De Ñuble,Distrito 19,J. Chile Grande y Unido,Renovación Nacional,1197
Diputado,58,Carolina Cucumides Calderon,Del Libertador General Bernardo O'Higgins,Distrito 16,C. Unidad por Chile,Independiente Socialista de Chile,1206
Diputado,121,Jose Antonio Kast Adriasola,Metropolitana De Santiago,Distrito 10,K. Cambio por Chile,Republicano de Chile,1218
Diputado,72,Paulina Muñoz Minte,De Los Lagos,Distrito 25,K. Cambio por Chile,Nacional Libertario,1228
Diputado,75,Alvaro Ortiz Vera,Del Biobio,Distrito 20,C. Unidad por Chile,Demócrata Cristiano,1238
Diputado,111,Paz Charpentier Rajcevich,Del Biobio,Distrito 20,K. Cambio por Chile,Republicano de Chile,1198
Diputado,93,Mario Olavarria Rodriguez,Metropolitana De Santiago,Distrito 8,J. Chile Grande y Unido,Unión Demócrata Independiente,1234
Diputado,62,Lorena Fries Monleon,Metropolitana De Santiago,Distrito 10,C. Unidad por Chile,Frente Amplio,1127
Diputado,89,Cristobal Martinez Ramirez,De Ñuble,Distrito 19,J. Chile Grande y Unido,Unión Demócrata Independiente,1143
Diputado,95,Marlene Perez Cartes,Del Biobio,Distrito 20,J. Chile Grande y Unido,Independiente Unión Demócrata Independiente,1157
Diputado,58,Daniela Serrano Salazar,Metropolitana De Santiago,Distrito 12,C. Unidad por Chile,Comunista de Chile,1173
Diputado,86,Carlo Arqueros Pizarro,De Antofagasta,Distrito 3,K. Cambio por Chile,Republicano de Chile,1187
Diputado,60,Priscilla Castillo Gerli,Del Maule,Distrito 17,C. Unidad por Chile,Demócrata Cristiano,1196
Diputado,67,Cristian Mella Andaur,De Valparaiso,Distrito 6,C. Unidad por Chile,Demócrata Cristiano,1224
Diputado,84,Claudia Mora Vega,Metropolitana De Santiago,Distrito 11,J. Chile Grande y Unido,Renovación Nacional,1227
Diputado,62,Ximena Naranjo Pinto,De Tarapaca,Distrito 2,J. Chile Grande y Unido,Independiente Unión Demócrata Independiente,1231
Diputado,69,Javier Olivares Avendaño,De Valparaiso,Distrito 6,I. Partido de la Gente,De la Gente,1235
Diputado,70,Fabian Ossandon Briceño,De Antofagasta,Distrito 3,I. Partido de la Gente,De la Gente,1239
Diputado,77,Cristian Contreras Radovic,Metropolitana De Santiago,Distrito 8,I. Partido de la Gente,De la Gente,1200
Diputado,74,Claudia Reyes Larenas,De Los Lagos,Distrito 26,K. Cambio por Chile,Republicano de Chile,1244
Diputado,63,Alejandro Riquelme Ducci,De Magallanes Y De La Antartica Chilena,Distrito 28,K. Cambio por Chile,Republicano de Chile,1245
Diputado,98,Javiera Rodriguez Pascual,Metropolitana De Santiago,Distrito 9,K. Cambio por Chile,Republicano de Chile,1247
Diputado,68,Omar Sabat Guzman,De Los Rios,Distrito 24,J. Chile Grande y Unido,Independiente Unión Demócrata Independiente,1249
Diputado,102,Macarena Santelices Cañas,Metropolitana De Santiago,Distrito 12,K. Cambio por Chile,Republicano de Chile,1251
Diputado,60,Constanza Schonhaut Soto,Metropolitana De Santiago,Distrito 11,C. Unidad por Chile,Frente Amplio,1252
Diputado,88,Fernando Ugarte Tejeda,Del Libertador General Bernardo O'Higgins,Distrito 15,K. Cambio por Chile,Republicano de Chile,1253
Diputado,61,Alejandra Valdebenito Torres,De Aysen Del General Carlos Ibañez Del Campo,Distrito 27,J. Chile Grande y Unido,Unión Demócrata Independiente,1257
Diputado,62,Cesar Valenzuela Maass,Metropolitana De Santiago,Distrito 9,C. Unidad por Chile,Socialista de Chile,1260
Diputado,72,Daniel Valenzuela Salazar,De Los Rios,Distrito 24,J. Chile Grande y Unido,Independiente Renovación Nacional,1261
Diputado,90,Diego Vergara Rodriguez,Metropolitana De Santiago,Distrito 14,K. Cambio por Chile,Republicano de Chile,1262
Diputado,58,Fernando Zamorano Peralta,Del Libertador General Bernardo O'Higgins,Distrito 15,C. Unidad por Chile,Por La Democracia,1264
Diputado,58,Matias Fernandez Hartwig,De Los Rios,Distrito 24,C. Unidad por Chile,Frente Amplio,1209
Diputado,87,Benjamin Lorca Inzunza,De Valparaiso,Distrito 6,K. Cambio por Chile,Republicano de Chile,1221
Diputado,67,Jose Montalva Feuerhake,De La Araucania,Distrito 23,C. Unidad por Chile,Independiente Por La Democracia,1226
Diputado,78,Luis Pardo Sainz,De Valparaiso,Distrito 6,J. Chile Grande y Unido,Renovación Nacional,1060
Diputado,60,Valentina Caceres Monsalvez,Del Libertador General Bernardo O'Higgins,Distrito 15,C. Unidad por Chile,Independiente Frente Amplio,1207
Diputado,68,Alvaro Jofre Caceres,De Tarapaca,Distrito 2,K. Cambio por Chile,Nacional Libertario,1215
