eleccion,numero,candidato,region,territorio,lista,partido_candidatura
Senador,52,Raul Huilcal Barria,De Atacama,Circunscripción Senatorial 4,,Federación Regionalista Verde Social
Senador,55,Ricardo Flores Paredes,De Atacama,Circunscripción Senatorial 4,,Federación Regionalista Verde Social
Senador,35,Rosa Elizabeth Catrileo Arias,De Atacama,Circunscripción Senatorial 4,A. Partido Ecologista Verde,Demócrata Cristiano
Senador,112,Saul Gonzalez Caceres,De Atacama,Circunscripción Senatorial 4,,Federación Regionalista Verde Social
Senador,51,Valentina Saez Casanova,De Atacama,Circunscripción Senatorial 4,,Demócrata Cristiano
Senador,54,Victor Vilches Vargas,De Atacama,Circunscripción Senatorial 4,,Federación Regionalista Verde Social
Senador,53,Wanglen Mila Huenumilla,De Atacama,Circunscripción Senatorial 4,,Federación Regionalista Verde Social
Senador,11,Aucan Huilcaman Paillama,De La Araucania,Circunscripción Senatorial 11,A. Partido Ecologista Verde,Ecologista Verde
Senador,77,José Antonio Urrutia Riesco,De La Araucania,Circunscripción Senatorial 11,,Candidatura Independiente
Senador,40,Juan Francisco Pulgar Castillo,De La Araucania,Circunscripción Senatorial 11,"B. Verdes, Regionalistas y Humanistas",Acción Humanista
Senador,35,Rosa Elizabeth Catrileo Arias,De La Araucania,Circunscripción Senatorial 11,A. Partido Ecologista Verde,Ecologista Verde
Senador,112,Saul Gonzalez Caceres,De La Araucania,Circunscripción Senatorial 11,,Candidatura Independiente
Senador,51,Alexis Zuñiga Jelvez,Del Maule,Circunscripción Senatorial 9,,Liberal de Chile
Senador,54,Atrix Badilla Hernandez,Del Maule,Circunscripción Senatorial 9,,Liberal de Chile
Senador,11,Aucan Huilcaman Paillama,Del Maule,Circunscripción Senatorial 9,"B. Verdes, Regionalistas y Humanistas",Acción Humanista
Senador,54,Barbara Lepez Monsalvez,Del Maule,Circunscripción Senatorial 9,"B. Verdes, Regionalistas y Humanistas",Liberal de Chile
Senador,67,Carlos Antonio Karim Bianchi Chelech,Del Maule,Circunscripción Senatorial 9,C. Unidad por Chile,Liberal de Chile
Senador,55,Carolina Monsalves Sanhueza,Del Maule,Circunscripción Senatorial 9,,Liberal de Chile
Senador,68,Claudia Paola Barrientos Sanchez,Del Maule,Circunscripción Senatorial 9,,Liberal de Chile
Senador,53,Constanza Gonzalez Gonzalez,Del Maule,Circunscripción Senatorial 9,,Liberal de Chile
Senador,55,Doris Blanco Llanquileo,Del Maule,Circunscripción Senatorial 9,,Liberal de Chile
Senador,54,Eduardo Cuellar Ferreira,Del Maule,Circunscripción Senatorial 9,,Liberal de Chile
Senador,54,Eliana Sanhueza Ortiz,Del Maule,Circunscripción Senatorial 9,,Liberal de Chile
Senador,52,Elizabeth Mujica Zepeda,Del Maule,Circunscripción Senatorial 9,,Liberal de Chile
Senador,55,Felipe Arancibia Labraña,Del Maule,Circunscripción Senatorial 9,,Liberal de Chile
Senador,51,Felipe Aylwin Lagos,Del Maule,Circunscripción Senatorial 9,,Acción Humanista
Senador,11,Felipe Duran Martinez,Del Maule,Circunscripción Senatorial 9,"B. Verdes, Regionalistas y Humanistas",Acción Humanista
Senador,51,Felix Gonzalez Gatica,Del Maule,Circunscripción Senatorial 9,,Acción Humanista
Senador,52,Graciela Huenuman Lincopi,Del Maule,Circunscripción Senatorial 9,,Liberal de Chile
Senador,53,Hernan Pino Seguel,Del Maule,Circunscripción Senatorial 9,,Liberal de Chile
Senador,52,Ivan Gorky Rojas Villagra,Del Maule,Circunscripción Senatorial 9,,Liberal de Chile
Senador,12,Jal Yjade Evila,Del Maule,Circunscripción Senatorial 9,A. Partido Ecologista Verde,Liberal de Chile
Senador,51,Jessica Mendez Canaves,Del Maule,Circunscripción Senatorial 9,,Acción Humanista
Senador,52,Johanna Barra Astudillo,Del Maule,Circunscripción Senatorial 9,,Liberal de Chile
Senador,77,José Antonio Urrutia Riesco,Del Maule,Circunscripción Senatorial 9,Candidatura Independiente,Liberal de Chile
Senador,40,Juan Francisco Pulgar Castillo,Del Maule,Circunscripción Senatorial 9,"B. Verdes, Regionalistas y Humanistas",Acción Humanista
Senador,56,Juan Manuel Rivas Garrido,Del Maule,Circunscripción Senatorial 9,"B. Verdes, Regionalistas y Humanistas",Liberal de Chile
Senador,56,Leonel Meriño Bahamonde,Del Maule,Circunscripción Senatorial 9,,Liberal de Chile
Senador,53,Patricio Antonio Palma Molina,Del Maule,Circunscripción Senatorial 9,,Liberal de Chile
Senador,53,Pedro Pablo Valenzuela Castro,Del Maule,Circunscripción Senatorial 9,,Liberal de Chile
Senador,52,Raul Huilcal Barria,Del Maule,Circunscripción Senatorial 9,,Liberal de Chile
Senador,55,Ricardo Flores Paredes,Del Maule,Circunscripción Senatorial 9,,Liberal de Chile
Senador,35,Rosa Elizabeth Catrileo Arias,Del Maule,Circunscripción Senatorial 9,,Liberal de Chile
Senador,112,Saul Gonzalez Caceres,Del Maule,Circunscripción Senatorial 9,,Liberal de Chile
Senador,51,Valentina Saez Casanova,Del Maule,Circunscripción Senatorial 9,,Acción Humanista
Senador,54,Victor Vilches Vargas,Del Maule,Circunscripción Senatorial 9,,Liberal de Chile
Senador,53,Wanglen Mila Huenumilla,Del Maule,Circunscripción Senatorial 9,,Liberal de Chile
